age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21,2,149626,11,9,4,12,1,4,0,3,0,40,38,0
48,3,313626,12,14,2,7,0,4,1,13,0,40,38,0
48,4,37550,13,14,2,8,0,4,1,0,2263,28,37,1
30,2,136398,12,14,4,0,0,4,1,7727,0,40,38,0
48,2,220579,11,9,2,6,0,2,1,12,0,40,38,1
35,5,154754,10,8,3,6,4,4,0,0,0,9,37,0
35,2,261818,14,9,0,10,4,4,0,0,0,39,37,0
51,1,46624,15,10,2,7,5,4,0,0,0,47,38,0
47,2,240879,7,12,4,0,1,4,0,16,0,50,5,0
34,1,205015,8,11,4,2,0,4,1,24,1,56,38,0
32,2,149592,10,8,2,10,1,4,1,0,0,39,37,0
42,0,98667,11,9,0,0,1,4,0,13,0,40,38,0
54,2,57139,8,12,2,0,0,4,1,0,0,49,37,0
50,2,291115,9,13,2,3,0,4,1,70,3,63,38,1
27,2,285434,4,3,2,4,0,4,1,6,0,40,25,0
37,2,285983,10,8,5,7,4,2,0,0,0,29,37,0
24,4,142175,15,10,4,2,1,4,1,36,1,48,38,0
38,1,57769,8,12,2,6,4,1,1,2375,0,39,28,0
51,2,156842,6,11,0,10,4,2,0,0,0,27,37,0
43,2,152572,15,10,0,0,4,4,0,9,0,36,38,0
24,2,209530,15,10,5,11,0,4,1,30,1,17,38,0
44,2,176065,11,13,2,8,5,4,0,7447,0,33,37,1
26,5,254243,15,10,2,10,0,4,1,3,0,40,38,0
51,4,191387,9,13,2,2,0,4,1,17,0,45,38,1
17,2,151276,0,6,4,6,3,4,0,0,0,12,37,0
30,2,308356,0,6,4,1,1,4,1,0,0,39,37,0
54,2,177507,11,9,2,13,0,4,1,29,1,22,38,0
43,2,183841,10,8,4,0,3,2,0,0,0,39,37,0
37,1,111571,8,12,2,8,5,4,0,0,0,19,37,1
48,2,123854,9,13,5,9,4,4,0,25,1,50,38,0
27,2,184539,10,8,2,10,5,4,0,0,0,15,37,0
42,2,89537,11,9,0,2,4,4,1,29,1,48,38,1
18,1,259860,14,9,2,8,0,1,1,0,0,47,37,1
61,2,25456,11,13,2,2,0,4,1,0,0,39,37,1
23,2,325026,15,10,4,5,3,4,1,5,0,25,38,0
38,2,158566,15,10,2,3,0,4,1,14,0,55,38,0
63,4,48490,15,10,2,3,0,4,1,38,2,40,38,0
20,1,172331,10,8,4,8,3,4,0,0,0,15,37,0
51,3,394365,12,14,0,9,4,4,1,99999,1,87,25,1
17,2,235034,11,9,4,4,3,2,1,0,0,40,38,0
23,4,183219,7,10,4,0,1,4,0,0,0,4,37,0
26,2,390126,14,9,2,10,1,4,1,0,0,39,37,0
60,2,130143,10,8,2,10,0,4,1,0,0,15,37,0
62,4,152178,3,2,2,2,0,4,1,30,1,40,38,0
18,2,177105,10,8,4,10,3,4,1,0,0,9,37,0
36,2,133703,9,13,0,0,1,4,0,3811,0,40,38,0
19,2,147118,11,9,4,13,3,4,1,5,0,30,38,0
27,2,183426,15,10,2,4,0,3,1,13,0,50,38,0
47,1,209224,15,10,2,3,0,4,1,28,1,46,38,0
26,5,36124,15,10,2,3,0,4,1,4,0,12,38,0
60,2,521293,5,4,6,4,2,4,0,27,1,45,14,0
42,1,33116,14,9,5,8,4,4,0,0,0,39,37,0
43,2,303477,6,5,2,13,0,4,1,25,1,40,38,0
44,2,85634,15,10,2,9,0,4,1,19,1,45,8,0
31,3,129988,11,13,2,8,1,4,1,0,0,39,37,0
37,2,43988,14,9,2,0,0,2,1,0,0,52,37,1
68,2,196145,9,13,2,11,0,4,1,23,1,7,38,1
33,2,198708,14,9,4,6,1,4,0,0,0,44,9,0
31,2,231105,14,9,2,5,0,2,1,0,0,39,37,0
35,2,190785,9,13,2,0,0,4,1,9,0,40,38,1
59,0,196014,11,9,4,2,1,4,1,13,0,50,38,1
44,2,130893,6,11,0,11,1,2,0,0,0,33,37,0
46,5,195668,11,9,0,2,0,4,1,19,1,48,38,1
32,4,38047,8,11,2,12,0,4,1,9,0,50,38,0
34,1,211786,9,13,4,9,2,2,1,6,0,15,38,0
55,2,257281,15,10,2,3,0,4,1,3,0,40,38,0
37,2,312613,15,10,5,7,2,4,0,12,0,40,38,0
20,2,165411,15,10,4,11,2,3,0,18,1,40,38,0
40,1,166730,8,12,5,2,4,4,1,0,0,39,37,0
20,2,240826,1,7,4,9,3,4,0,7,0,25,38,0
44,2,199486,14,9,0,8,4,4,0,0,0,19,37,0
40,2,168514,7,10,0,8,4,4,0,0,0,42,37,0
41,2,367210,15,10,2,11,5,4,0,32,1,45,38,0
63,4,236227,15,10,2,6,0,4,1,9,0,35,38,1
36,2,212722,11,13,2,8,0,4,1,95231,0,58,37,1
28,2,327966,10,8,2,12,0,4,1,2668,0,66,37,1
53,0,308358,10,8,2,5,0,4,1,0,0,39,29,1
33,5,203472,11,13,2,8,0,4,1,0,0,49,37,1
24,1,196225,11,9,4,10,3,4,1,1,0,40,38,0
21,2,106322,10,8,4,12,3,4,1,0,0,39,37,0
32,2,186413,15,10,2,13,0,4,1,13,0,60,38,1
28,2,503702,11,9,2,6,0,4,1,13,0,45,38,0
35,2,240176,8,12,2,1,0,4,1,4705,1658,39,37,0
77,4,256640,15,10,6,13,1,4,1,5,0,40,38,0
28,0,113503,8,12,1,8,0,4,1,0,0,49,37,1
34,2,335248,15,10,2,13,0,4,1,5,0,50,38,0
48,2,87403,10,8,0,10,4,4,0,0,0,44,37,0
55,4,60585,0,6,6,6,4,4,0,0,0,63,10,1
38,5,139624,12,14,2,3,0,4,1,7431,0,60,38,1
38,4,140561,10,8,4,10,0,4,1,0,0,24,37,1
50,2,254715,10,8,2,12,0,4,1,0,0,39,37,0
49,2,374482,11,9,0,0,4,4,0,37,2,40,38,0
34,2,207812,14,9,2,1,0,4,1,0,0,39,37,0
37,2,288030,8,12,2,2,0,4,1,0,0,49,37,1
41,1,317465,11,13,2,8,0,4,1,0,0,54,37,0
45,2,207639,14,9,0,0,1,4,0,0,0,32,37,0
32,3,189764,10,8,2,0,0,4,1,0,0,33,37,0
38,4,164506,8,12,2,10,0,4,1,0,0,44,37,1
32,2,30715,6,11,2,4,0,4,1,0,0,58,37,0
61,5,119334,15,10,2,10,0,4,1,10,0,40,38,0
37,2,260046,14,9,0,0,1,4,1,0,0,44,37,0
49,2,185289,14,9,2,1,0,4,1,0,0,39,37,0
36,2,87629,10,8,2,2,4,4,1,0,0,39,37,0
54,2,50191,8,11,2,9,2,4,0,15,0,40,38,1
24,2,164510,0,5,4,5,2,3,0,0,0,24,5,0
25,2,159252,11,9,4,3,1,4,1,3,0,40,30,0
31,1,96466,11,13,4,6,1,4,0,1241,0,24,37,0
22,2,236003,15,10,3,0,3,1,0,14,0,40,38,0
31,2,77914,11,9,2,2,0,4,1,59,3,47,38,0
47,2,354024,9,13,2,3,0,4,1,23,1,45,38,0
36,2,63230,15,10,2,9,0,4,1,5,0,40,38,0
29,2,133068,8,11,4,11,1,4,0,25,1,40,38,0
19,2,173245,1,7,4,4,3,4,0,0,0,37,37,0
19,2,391485,11,9,4,0,3,4,0,21,1,40,38,0
34,5,115071,8,12,0,12,1,4,1,0,0,39,37,1
43,2,256136,10,8,4,1,3,4,1,0,0,39,37,0
47,2,214011,10,8,2,1,0,4,1,0,0,39,37,1
24,2,359225,10,8,2,4,0,4,1,0,0,39,37,0
53,2,149612,14,9,0,0,4,4,0,0,0,39,37,0
63,2,215556,10,8,6,0,1,4,0,15515,0,14,8,1
40,4,67462,10,8,2,3,0,4,1,0,0,59,37,1
38,2,219229,11,9,4,11,4,4,1,4,0,42,38,0
37,4,293668,11,9,3,7,4,2,0,9,0,40,38,0
33,2,43231,14,9,0,1,4,4,1,0,0,28,37,0
46,4,327360,8,15,2,2,0,4,1,0,1882,44,37,0
36,2,323954,5,4,2,12,0,4,1,0,0,49,24,1
50,0,172897,11,9,2,0,0,2,1,39,2,50,38,1
17,2,300567,0,6,4,6,3,4,1,0,0,11,37,0
42,2,126013,11,13,0,2,1,4,0,0,0,39,37,0
17,5,73754,0,6,4,6,3,4,1,0,0,7,37,0
17,2,335775,0,6,4,6,3,4,1,0,0,15,37,0
26,2,338051,14,9,4,0,1,4,0,0,0,39,37,0
27,2,120719,4,3,0,1,4,4,0,0,0,54,37,0
62,3,358638,9,13,2,3,0,4,1,4,0,50,38,1
38,2,55703,10,8,2,2,0,4,1,1184,0,39,37,0
19,2,92903,5,4,2,5,0,4,1,0,0,39,37,0
23,2,164561,1,7,4,0,3,4,1,8,0,10,38,0
29,2,419624,9,13,4,9,1,4,0,12,0,45,38,0
29,2,317814,8,15,4,8,1,4,1,3924,0,44,37,1
28,2,142511,14,9,2,4,0,4,1,0,0,64,37,0
31,4,56002,8,12,2,8,5,4,0,0,0,7,37,1
49,2,419794,0,6,0,6,1,2,1,8,0,40,38,0
40,1,180436,14,9,2,8,3,1,0,0,0,34,37,0
42,2,291139,11,9,2,7,0,2,1,12,0,40,14,0
22,1,420348,11,9,4,5,3,2,1,7,0,40,38,0
40,2,216865,9,13,2,11,0,4,1,29,1,50,3,1
19,2,170601,11,9,4,0,3,4,0,14,0,25,38,0
22,2,108075,14,9,4,10,3,4,0,0,0,11,37,0
39,1,183965,12,14,0,9,1,4,0,15,0,40,38,0
39,2,175105,8,12,4,5,1,4,0,0,0,39,37,1
49,3,61439,10,8,2,4,0,1,1,0,0,39,28,1
62,2,187327,11,9,2,2,0,4,1,1,0,40,38,0
46,2,158997,9,13,0,9,1,4,0,8,0,50,38,1
22,2,197321,15,10,4,10,3,4,1,14,0,25,38,0
46,2,182041,10,8,2,0,0,4,1,0,0,39,37,1
21,2,306578,15,10,4,3,1,4,1,1,0,40,38,0
86,2,82562,10,8,6,12,4,4,1,0,0,95,37,0
53,2,320534,11,9,2,13,0,4,1,3,0,60,38,1
29,2,179745,9,13,2,9,0,1,1,26,1,40,36,0
59,2,219907,9,13,4,12,3,4,1,5,0,40,38,0
33,2,417248,11,9,4,2,3,4,1,30,1,50,38,0
37,0,31738,15,10,2,0,0,4,1,10,0,42,38,1
32,2,234619,10,8,2,0,1,4,1,0,0,39,37,0
19,2,209663,11,9,4,5,2,4,1,6,0,40,38,0
31,2,113021,11,9,4,7,4,2,0,17,0,33,38,0
33,4,288625,10,8,4,1,1,2,1,0,0,39,37,0
42,2,187174,15,10,0,7,1,4,0,18,0,37,38,1
27,2,131411,11,9,5,3,4,4,0,34,1,39,38,0
26,2,206620,14,9,4,4,1,2,1,0,0,49,37,0
24,1,113156,15,10,4,2,4,2,1,3,0,22,38,0
21,2,147884,14,9,4,0,3,4,0,0,0,19,37,0
50,2,135212,11,9,2,3,0,4,1,18,0,50,38,0
48,4,310256,15,10,5,0,4,4,0,0,0,40,38,0
25,2,114041,8,12,4,8,1,4,1,0,0,78,37,0
32,2,273214,14,9,4,2,1,4,0,0,0,14,37,0
44,0,205234,11,9,2,9,0,4,1,22,1,40,38,0
