age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,2,240240,0,6,0,0,4,4,0,0,0,20,38,0
25,2,298268,9,13,2,11,0,4,1,0,0,50,38,0
23,2,150461,15,10,0,7,1,4,0,0,0,15,38,0
20,2,133933,15,10,4,0,3,4,0,0,0,10,38,0
55,1,244458,9,13,2,5,0,4,1,0,0,40,38,1
20,2,320532,11,9,4,2,3,4,1,0,0,40,38,0
50,2,231110,11,9,2,11,0,4,1,0,0,40,38,0
41,0,83860,8,13,2,0,0,4,1,0,0,40,38,1
50,2,211832,9,13,2,2,0,4,1,0,0,40,38,0
53,1,218418,11,9,2,13,0,2,1,0,0,55,38,1
22,5,539406,15,10,4,0,1,4,0,0,0,40,38,0
43,2,173975,15,10,2,2,0,4,1,0,0,40,38,0
18,2,202618,15,10,4,3,3,4,1,0,0,15,38,0
19,2,172456,11,9,4,9,3,4,1,0,0,40,38,0
38,2,106827,11,9,0,7,4,2,0,0,0,40,38,0
40,2,268635,11,9,6,0,4,4,0,0,0,40,38,0
28,2,282352,15,10,2,10,0,2,1,0,0,40,38,0
40,2,104801,9,13,2,3,3,4,0,0,0,40,9,1
27,2,376823,4,3,2,3,0,4,1,0,0,40,29,0
90,1,19302,15,16,2,0,4,4,1,99999,3770,1,40,1
17,1,247795,1,6,4,6,3,4,0,0,0,15,38,0
29,2,131391,15,10,4,9,3,4,0,0,0,9,38,0
46,2,101327,9,13,4,9,1,4,0,0,0,50,38,1
40,2,120665,11,9,4,3,3,4,1,0,0,40,38,0
22,2,268568,0,6,4,13,3,4,1,0,0,40,38,0
61,4,217721,1,5,2,5,0,4,1,0,0,40,38,0
42,2,192710,15,10,0,11,3,4,1,0,0,60,38,0
31,2,196585,11,9,5,2,2,4,1,0,0,40,38,0
39,4,236794,11,9,5,2,1,4,1,0,1887,40,38,0
24,2,197186,15,10,4,0,1,4,0,0,0,38,38,0
27,2,160951,15,10,4,6,4,3,0,0,0,10,38,0
27,2,204758,11,9,4,9,3,4,0,0,0,40,38,0
90,2,154319,12,14,2,8,0,4,1,15024,0,40,38,1
64,2,183011,15,10,4,5,1,4,1,0,0,18,38,0
53,0,441946,9,13,2,9,5,4,0,0,0,40,38,0
32,2,226236,11,9,4,4,1,4,0,0,0,20,38,0
25,2,163828,11,9,3,9,1,4,1,0,0,40,0,0
48,2,269547,11,9,0,11,4,4,0,0,0,40,38,0
