age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
53,1,487081,14,10,0,0,4,0,0,7,0,39,37,0
32,4,48456,14,10,4,5,3,4,1,0,0,48,38,0
67,4,69224,15,9,2,2,0,4,1,37,0,74,24,1
33,2,154629,8,13,4,9,1,4,0,14530,0,21,6,0
42,4,229545,14,9,2,0,0,4,1,16,0,40,37,0
54,0,105486,10,13,2,8,0,4,1,33,0,39,38,1
38,4,203307,9,13,4,9,3,4,0,7,0,30,38,1
56,2,112494,10,8,2,4,0,4,1,11,0,40,37,0
33,2,131054,9,12,2,2,0,4,1,0,0,40,37,0
27,2,86186,10,9,4,11,1,4,1,4882,0,40,38,0
17,2,249403,10,9,4,3,3,4,1,0,0,39,37,0
46,2,178174,9,12,2,9,0,4,1,9,0,61,37,1
57,2,76376,14,9,2,0,0,4,1,16,0,40,37,0
55,2,237522,0,6,4,6,3,4,1,12,0,40,37,0
45,2,224478,8,11,2,10,0,4,0,38,0,40,37,0
55,2,363961,11,8,0,0,4,4,0,43,0,25,37,0
37,2,256791,8,13,4,8,1,2,0,15,2,49,37,1
53,4,242412,10,9,4,1,3,4,1,4,0,47,37,0
38,3,193596,10,8,2,1,0,1,1,4455,0,40,25,0
26,2,304065,15,10,4,0,3,4,1,33,1,39,37,0
30,2,310979,14,6,4,1,3,2,0,18,0,39,37,0
36,2,161558,14,9,0,10,1,4,0,36,0,60,37,0
60,2,18827,9,13,4,8,1,1,1,17,696,59,37,1
33,2,492472,14,9,4,6,3,1,1,13,0,40,38,0
44,5,69278,15,4,2,8,0,4,1,6,0,51,37,0
38,2,169556,9,11,2,8,0,4,1,13,0,40,38,1
34,2,243719,9,11,2,11,0,4,1,25,1,40,37,1
22,2,55297,14,9,4,5,3,4,1,31,0,40,37,0
51,3,131314,14,9,2,10,0,4,1,8193,0,53,37,1
41,2,213485,10,12,2,11,0,4,1,4,0,64,37,1
22,2,423080,14,9,4,12,4,4,0,38,0,46,37,0
59,2,283270,14,9,2,6,0,4,1,31,0,32,37,0
59,2,191701,15,8,2,0,0,4,1,32,0,45,37,0
20,3,130938,10,7,4,9,3,4,1,16,0,40,38,0
41,3,134245,10,8,6,5,4,4,0,6,0,40,37,0
30,2,252226,10,8,2,2,2,4,1,35,0,48,37,0
24,2,184076,0,5,4,6,3,4,1,28,0,40,37,0
39,2,238066,10,9,2,0,0,1,1,7,1,39,38,1
27,2,139355,10,9,4,3,1,4,1,0,0,40,37,0
37,4,166823,8,13,2,1,0,4,1,47,0,51,37,0
43,2,217089,11,9,4,5,1,4,0,0,0,53,38,0
54,2,251319,10,9,4,11,1,4,0,0,0,34,38,0
43,2,205433,10,8,4,2,0,4,1,18,0,40,38,0
42,4,209862,9,14,2,8,0,4,1,2,0,48,37,1
61,2,396259,11,8,2,11,0,4,1,12,2,52,37,1
24,2,231633,10,8,0,2,3,4,0,39,0,33,37,0
50,2,219539,0,9,4,8,3,4,0,26,0,29,37,0
60,2,419458,8,13,2,9,0,4,1,16,0,49,37,1
25,2,226899,14,10,0,1,4,2,0,10,0,13,37,0
30,2,216365,8,12,2,11,0,4,1,0,0,40,38,0
34,2,18827,8,12,2,3,1,4,1,44,0,52,37,0
35,2,250190,0,5,4,5,0,4,1,51,0,46,37,0
42,2,194674,15,10,4,8,5,4,0,4977,0,29,38,1
32,2,291677,11,11,4,9,1,4,1,35,0,51,37,0
33,2,217913,7,12,2,13,0,1,1,12,0,40,38,1
24,2,107341,10,9,4,6,3,4,0,4,0,39,37,0
58,3,284275,11,12,2,8,0,4,1,46,0,40,37,1
62,2,187355,7,12,0,0,3,4,0,10,0,53,37,1
33,2,76534,11,13,2,6,0,2,1,9,1,40,8,0
40,2,107642,6,12,4,0,1,4,1,13,0,39,37,0
18,2,405906,14,10,2,5,2,4,1,1,0,47,37,0
20,2,257705,0,6,4,10,1,1,1,6176,1,60,37,0
34,1,174420,11,8,0,6,1,4,0,24,0,40,37,0
30,3,238110,9,10,2,8,0,4,1,51,0,39,37,1
45,4,185460,15,9,4,9,1,4,0,31,0,81,37,0
49,4,231616,7,12,2,2,0,4,1,23,0,39,38,1
29,2,171974,14,10,0,12,4,4,0,0,0,39,37,1
34,0,177915,14,12,2,12,0,4,1,6,2150,50,38,1
70,4,188950,8,12,6,2,3,4,1,6215,0,49,30,0
48,2,142652,11,13,2,2,0,4,1,16,0,55,37,0
20,2,153787,14,9,5,1,1,4,0,14,0,19,38,0
29,2,147975,14,9,3,2,0,4,1,21,0,50,37,0
49,4,248304,9,12,2,3,0,4,1,6746,0,58,37,1
41,2,209489,9,14,2,3,0,4,1,6,0,53,37,0
22,2,184087,14,9,4,2,3,4,0,35,0,39,38,0
21,2,236801,14,9,4,1,0,4,1,0,0,39,37,0
43,2,209735,10,9,2,6,0,2,1,5615,1814,32,37,1
50,1,295890,10,9,2,2,0,4,1,6,0,48,37,1
47,0,209216,8,13,0,8,1,4,0,18,0,18,37,0
21,2,344182,14,9,4,10,3,4,1,2,0,25,38,0
49,2,215496,0,8,2,7,0,4,1,14,0,34,37,0
61,0,172820,11,12,2,1,0,4,1,22,0,40,37,1
61,2,27761,11,8,2,1,0,4,1,6936,0,40,24,1
40,2,154409,14,9,0,9,5,4,1,4,0,39,37,0
33,2,19895,14,10,4,10,4,4,0,3,0,50,38,1
46,2,729796,10,8,0,4,1,4,0,19,0,45,38,0
52,2,255935,8,6,4,2,2,4,0,33,0,40,37,0
29,2,221936,9,13,5,2,1,4,1,2,0,53,37,0
31,5,264245,15,6,4,0,4,2,0,23,692,40,37,0
29,2,172461,11,8,0,4,4,4,1,0,0,39,38,0
45,5,18827,8,4,2,6,0,4,0,0,0,40,37,1
43,2,226721,14,9,4,0,1,4,1,15,0,27,37,0
18,2,330836,0,6,4,0,3,4,0,0,0,23,37,0
52,4,148792,10,8,2,0,0,4,0,5377,0,40,37,1
22,2,183103,10,9,4,0,3,4,1,2,0,32,24,0
61,1,120290,7,12,2,9,0,4,1,13,0,40,38,1
19,2,263368,10,8,4,11,3,2,1,0,0,39,37,0
63,2,135681,10,8,0,13,1,2,0,32,0,40,7,0
61,2,139867,9,13,0,9,5,4,0,15055,0,60,37,0
61,2,226170,11,8,2,1,0,4,1,52,0,30,37,1
26,2,245559,10,8,0,9,4,4,0,37,0,49,37,0
20,2,372117,14,9,4,4,3,2,0,4,0,20,37,0
58,2,255787,0,4,5,6,0,2,1,6,0,60,31,0
69,5,90353,11,3,2,1,0,4,1,37,0,60,37,0
40,2,416258,10,8,2,1,0,4,1,6239,0,40,37,1
45,2,18827,9,14,4,8,0,4,1,0,0,57,37,0
43,2,303621,8,3,0,2,1,4,1,22,0,40,37,1
60,2,190560,9,14,2,8,0,4,0,5,0,40,37,1
20,2,385709,14,9,4,0,3,2,0,13,0,39,37,0
25,4,124765,11,9,6,1,4,4,1,15,0,17,6,0
21,2,91364,0,6,4,6,3,4,1,12,0,34,37,0
45,2,181924,14,10,2,10,0,4,1,6041,0,40,37,1
54,2,63334,9,4,0,6,1,0,0,5546,0,40,5,1
19,2,311960,15,10,2,10,5,4,1,8,0,29,37,0
19,2,140677,10,9,4,1,1,4,1,16,0,45,37,0
23,2,269978,8,6,2,6,0,4,1,11,0,43,37,0
48,1,157250,11,12,2,2,0,4,1,25,0,48,37,1
58,4,71106,9,12,2,1,0,4,1,15522,0,40,37,1
39,1,167970,8,13,4,2,1,4,0,2,0,35,37,0
45,2,71155,9,13,2,6,0,4,1,0,0,40,38,1
31,6,678980,9,12,4,10,5,4,1,26,0,39,37,0
43,2,266900,9,12,2,8,0,4,0,4,0,60,37,0
44,1,141120,15,10,2,10,0,4,1,13,1,40,37,1
27,2,78198,14,9,2,5,0,4,1,11,0,39,37,0
23,1,18827,11,12,2,7,4,4,0,5379,0,36,37,1
42,0,239664,10,12,2,2,0,4,1,5961,0,40,37,1
36,2,150338,14,9,3,12,4,2,0,29,0,40,6,0
44,2,106946,9,10,2,9,0,4,1,99999,3269,40,31,1
21,2,222920,9,12,2,7,5,4,1,48,1,39,3,1
41,2,18827,8,12,2,11,1,4,1,0,0,40,37,0
23,2,309024,10,9,4,1,3,4,1,8,0,39,38,0
23,2,300348,14,9,2,2,5,4,0,31,0,40,37,0
