age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,2,109546,0,9,4,4,3,4,1,25,0,12,38,0
63,2,337043,10,9,0,4,1,4,0,15,0,58,38,0
57,2,337043,10,9,0,6,3,4,1,33,0,39,38,0
37,2,229350,14,10,4,10,3,4,1,41,0,34,38,0
37,2,337043,10,9,2,1,0,4,1,43,0,34,38,1
57,3,186354,14,10,2,8,0,4,1,79,0,34,38,1
32,2,109546,8,13,6,8,1,4,0,50,0,40,38,1
37,2,278345,14,10,0,1,2,4,1,34,0,40,38,0
25,3,337043,10,9,0,2,1,4,1,21,0,49,38,1
32,2,337043,14,10,4,10,4,4,0,28,0,40,38,0
42,2,229350,10,9,2,4,0,4,1,42,0,40,38,0
19,2,154985,10,9,4,4,3,4,1,33,0,49,38,0
37,2,109546,10,9,2,12,0,4,1,70,0,49,38,0
50,2,41401,0,10,4,0,1,4,1,31,0,40,22,0
46,0,109546,14,10,2,6,0,4,1,43,0,40,38,0
37,2,186354,10,9,5,6,3,4,0,17,0,24,38,0
50,2,386254,10,9,2,1,0,4,1,28,0,40,38,0
57,2,229350,8,13,4,6,1,4,1,24,0,39,38,0
32,5,109546,7,16,3,8,1,4,1,36,0,40,38,0
32,2,109546,14,10,4,2,1,4,1,24,971,49,38,0
19,2,386254,10,9,4,6,1,4,0,17,0,39,38,0
42,2,41401,14,10,2,10,0,4,1,75,0,40,38,0
32,2,109546,14,10,4,0,4,2,0,35,0,39,38,0
37,3,109546,14,10,2,2,0,4,1,56,0,49,38,1
57,2,109546,10,9,2,8,0,4,1,61,0,40,38,0
50,2,186354,10,9,2,12,5,4,0,54,0,40,38,1
46,2,109546,10,9,2,0,1,4,0,33,0,40,38,0
57,2,186354,10,9,0,10,4,4,0,43,0,49,38,0
32,2,186354,6,14,2,10,0,4,1,69,0,40,38,1
37,2,109546,8,14,0,2,1,4,1,49,0,40,38,1
25,2,337043,8,14,2,11,0,4,1,56,0,40,38,1
19,2,109546,14,9,4,10,3,2,0,20,0,12,38,0
32,2,109546,8,10,4,11,3,4,1,53,0,44,38,0
25,2,186354,10,9,4,7,3,4,1,19,0,12,38,0
32,0,109546,8,13,4,9,3,4,1,59,0,40,38,0
19,2,41401,14,10,4,8,3,4,1,40,0,12,38,0
46,2,186354,14,10,6,10,4,2,0,19,0,49,38,1
37,2,41401,7,11,2,4,0,4,1,86,0,40,38,1
32,2,229350,14,9,4,5,1,4,0,24,0,40,38,0
25,2,186354,14,10,4,2,1,4,1,49,0,40,38,0
