age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
60,2,231253,11,8,0,2,4,4,1,0,0,40,37,1
41,3,101184,11,14,4,4,0,4,1,4,0,50,38,0
43,2,202359,10,5,2,5,0,4,1,16,1,34,38,0
43,2,179011,7,10,5,12,1,4,0,12,0,39,38,1
37,2,126225,9,12,2,8,0,4,1,0,0,65,37,1
65,2,189704,11,15,2,9,0,4,1,4,1,49,38,0
45,1,242466,3,2,2,1,0,4,1,0,0,60,37,1
56,2,229396,15,4,4,9,1,4,0,0,0,40,37,0
60,5,180121,12,14,2,8,0,4,1,10,0,10,37,1
60,2,193754,11,9,4,0,1,4,1,0,0,40,38,0
32,2,105133,9,13,6,10,1,4,0,15,0,59,37,0
33,2,111353,1,7,4,2,3,4,1,0,0,39,38,0
36,2,34983,14,9,2,5,0,4,1,1,0,39,37,0
26,2,230230,10,8,4,2,1,4,0,0,0,49,38,0
32,2,53965,9,12,2,8,5,4,0,11,0,39,38,0
47,2,99067,10,12,2,12,0,4,1,0,0,64,38,1
37,2,114080,0,5,2,4,0,4,1,0,0,39,38,0
38,2,244603,14,9,2,2,0,4,1,2,0,49,38,1
52,2,236198,12,12,0,2,4,4,1,0,0,49,37,0
64,2,81172,15,9,0,10,1,4,0,0,0,38,37,0
32,2,125900,14,9,2,1,0,4,1,7,0,62,37,1
45,2,224424,9,12,4,10,1,3,0,0,0,30,24,0
24,2,48205,14,9,4,0,3,4,0,0,0,45,37,0
33,2,290862,11,8,2,1,0,4,1,0,0,39,38,0
32,5,105135,9,12,0,8,3,2,0,1,0,35,37,0
39,5,356032,11,14,2,0,0,4,1,0,0,35,38,0
25,0,199867,8,12,4,12,1,4,0,0,0,11,38,0
25,2,272591,9,13,4,6,4,4,0,0,0,33,38,0
40,2,110721,10,8,0,0,2,2,0,0,0,39,38,0
70,2,195930,14,12,6,10,1,4,0,0,1841,34,38,1
