checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
2,22.266250278523223,3,3,4235.42809334759,4,3,2.0,3,2,3.0,0,36.38328757827691,1,1,1.0,1,1.0,1,1,1
1,23.713904445467257,3,3,2577.022710702787,1,1,1.0,3,2,3.0,3,54.22861114821501,1,1,2.0,3,1.0,0,1,1
2,14.420134474499891,3,6,1372.2038149695813,4,1,4.0,3,2,1.0,1,22.603866678075086,1,1,1.0,1,1.0,0,1,1
3,12.543375711043122,1,4,768.1637013248969,2,3,4.0,0,2,3.0,0,52.59715451828021,1,1,2.0,1,1.0,1,1,1
3,24.724336118676238,3,9,3979.44788632664,2,3,3.0,0,2,4.0,0,24.638679829117706,1,1,1.0,1,1.0,0,1,1
1,18.123804251775436,1,6,1184.3288522547632,4,0,4.0,3,2,3.0,3,67.28413990186458,1,1,2.0,1,1.0,1,1,1
3,24.476683572944253,1,9,2392.453811723642,4,3,4.0,3,2,4.0,0,45.32592456093042,1,1,2.0,1,2.0,1,1,1
1,18.889737690127134,2,2,2981.651563992483,1,1,2.0,3,2,1.0,1,24.558380896636486,1,1,2.0,1,1.0,0,1,0
1,51.42950281357436,4,3,7717.043397723895,1,2,3.0,3,2,4.0,2,56.6798073922498,1,0,2.0,1,2.0,0,1,0
2,18.451259189469376,3,3,3093.4535323823593,1,3,2.0,0,2,4.0,3,40.49296828752077,1,2,1.0,1,1.0,0,1,1
3,9.315316734601081,3,4,1200.4289998926622,4,2,4.0,3,1,4.0,1,26.400962726375948,1,1,1.0,3,1.0,0,1,0
3,23.345575450140498,3,4,1986.667336540403,4,1,4.0,3,2,1.0,1,49.02611054009092,1,1,1.0,1,1.0,0,1,1
1,26.98929001656201,3,6,3408.7334857568444,1,2,3.0,3,2,2.0,0,26.97577059409644,1,1,1.0,0,1.0,0,1,1
0,16.018985133086485,1,6,1397.1658814692014,4,2,3.0,3,2,4.0,2,40.11316814768347,1,0,2.0,1,1.0,1,1,0
1,11.376420417771019,1,4,4003.769002769084,1,2,2.0,3,2,2.0,3,36.526642789091525,1,2,2.0,1,2.0,0,1,1
1,32.82191051637498,1,3,4245.5111008554795,3,2,1.0,0,2,4.0,0,22.881666103764527,1,1,2.0,1,1.0,0,1,0
3,23.021035231957498,3,9,2890.0676813327327,4,0,4.0,3,2,4.0,3,48.97782686255303,1,1,1.0,0,1.0,1,1,1
2,13.602776829625862,3,7,7054.644877238288,1,2,4.0,3,2,2.0,0,31.402287905616443,1,1,1.0,1,1.0,0,1,0
0,4.760258346202738,1,4,1126.4127632007023,2,0,2.0,1,2,4.0,0,26.915335750383512,1,1,2.0,1,2.0,1,1,1
1,11.732721631967092,3,4,2508.8687939706356,1,1,4.0,3,2,1.0,3,32.62605581801807,1,1,1.0,3,2.0,0,1,0
3,40.41228107121245,3,6,6889.130472719158,4,3,2.0,2,2,4.0,1,28.49291009307069,1,2,1.0,1,1.0,1,1,1
3,6.214292369314658,3,6,3676.228202879017,1,2,3.0,0,2,1.0,3,29.18748686167742,1,1,1.0,1,1.0,0,1,1
3,47.762473902852,3,0,4802.579735341161,1,4,3.0,3,2,2.0,0,32.87868862824136,0,2,1.0,0,1.0,1,1,0
3,16.29846287157136,1,6,1476.7694827211253,3,2,2.0,2,2,2.0,1,49.98006819323375,1,1,2.0,3,1.0,0,1,1
2,10.46138893122768,3,3,2358.2836399470743,4,0,1.0,0,2,2.0,1,23.653851457479167,0,1,1.0,1,1.0,1,1,0
3,21.56053061277006,3,0,1641.4022283096488,0,0,4.0,0,2,4.0,3,36.61233947746337,0,1,1.0,3,1.0,0,1,1
2,10.358098271894573,3,6,4521.521976925656,1,3,3.0,2,1,3.0,3,31.8129503653932,0,1,1.0,3,1.0,0,1,1
3,17.35872036683654,3,9,1729.9782627501447,4,0,4.0,3,2,4.0,3,40.63487813856705,1,1,1.0,0,1.0,1,1,1
3,11.788272611386775,1,6,3021.444822743511,1,0,2.0,3,2,2.0,0,51.37766567681483,1,1,2.0,1,1.0,1,1,1
3,10.2478174833256,3,6,2599.244599732019,0,3,2.0,1,2,4.0,3,55.84977674473929,1,1,1.0,3,1.0,0,1,1
