checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
0,31.97124051767744,1,7,10324.569157777069,2,3,1.0,0,1,1.0,0,38.8261017582963,1,0,2.0,0,1.0,1,0,1
0,12.533125108484713,2,0,9837.271538874282,0,1,1.0,2,1,1.0,2,47.54547419840244,1,0,1.0,2,1.0,0,1,0
0,8.680035251864622,0,2,12498.709484558574,0,0,3.0,2,1,1.0,1,37.0097763273388,1,1,3.0,0,1.0,0,0,0
2,11.574110842354818,2,0,3142.686620315033,2,3,1.0,1,1,4.0,1,39.20854604744291,1,0,2.0,2,1.0,1,0,1
2,16.237031988284308,1,5,2983.8312609004915,0,2,1.0,2,1,1.0,2,52.5077284308109,1,1,3.0,2,1.0,1,0,1
0,12.67721860342504,1,4,10417.163233568248,3,3,1.0,2,1,1.0,1,51.58770037635795,1,0,2.0,2,1.0,1,1,0
0,38.00981161158024,1,5,12118.654498457156,0,2,2.0,0,1,1.0,2,28.43564113965905,1,1,2.0,0,1.0,0,0,0
0,7.70951160133204,3,2,5359.659965263253,1,1,1.0,2,1,4.0,2,38.135724122962074,1,0,1.0,2,1.0,0,1,1
0,29.579675706250793,2,7,1568.3286957501125,2,0,1.0,2,1,4.0,2,26.114950938838547,1,0,1.0,0,1.0,0,0,1
0,46.576629031894264,3,5,1006.9389993703305,1,0,2.0,2,1,1.0,2,23.44649350914407,1,0,2.0,0,1.0,1,0,1
2,13.81309296195181,0,7,8480.149114169451,2,1,1.0,0,1,2.0,2,28.860849360730345,1,1,2.0,2,2.0,1,0,1
1,8.810590569097743,0,8,4077.8063005943195,2,2,1.0,2,1,1.0,2,47.22611143981174,1,0,1.0,2,1.0,1,1,1
0,35.1755228193867,3,0,2233.939581968428,1,0,1.0,2,1,1.0,2,45.21894560417378,1,0,2.0,2,1.0,1,0,1
2,33.77412410466227,3,7,8280.390089671957,0,1,1.0,2,1,1.0,2,25.648485854288978,1,0,2.0,0,1.0,0,1,1
1,35.48949371035632,2,1,3176.1351004017733,1,0,3.0,0,1,1.0,1,47.62070569220654,1,0,1.0,2,1.0,1,0,1
2,9.764093120008111,2,5,3959.770633928017,3,3,3.0,0,2,4.0,1,26.2131695205044,1,1,1.0,0,1.0,0,0,1
1,16.397195459467106,2,3,6897.588517048442,0,2,1.0,0,2,2.0,1,44.003894008625274,1,1,1.0,2,1.0,0,0,1
0,29.130102194152588,1,4,12578.733612679465,1,3,1.0,2,1,4.0,1,48.985133016754105,2,0,2.0,2,1.0,0,1,0
0,17.79651774232041,1,7,3595.5350112920996,1,1,3.0,0,1,1.0,1,48.23630300700538,1,0,2.0,0,1.0,1,0,1
1,29.640152555485106,3,5,8524.903343099248,0,2,3.0,0,1,1.0,1,43.98074878291326,1,1,1.0,0,1.0,1,1,1
1,9.435155834581005,0,5,1675.0014109011101,4,0,1.0,0,2,2.0,0,52.713852515939976,1,0,2.0,2,1.0,1,0,1
1,9.296564557772594,3,4,2030.2589535764196,2,2,3.0,2,1,4.0,2,27.444701246059953,1,1,3.0,0,2.0,0,0,1
0,13.239075957508263,3,7,6628.747813817958,2,1,1.0,0,1,4.0,0,20.815615817710828,1,0,2.0,0,1.0,1,0,1
0,58.22711908613733,3,1,5014.958700079991,4,2,1.0,2,1,1.0,2,41.81631229306044,1,1,3.0,3,1.0,0,1,0
1,30.407735814663493,2,3,14735.945284480695,4,2,3.0,2,0,1.0,0,41.098808356053524,1,1,1.0,2,1.0,0,1,1
0,36.450938051160236,2,1,10834.752460267688,0,4,1.0,3,1,4.0,0,28.514247789122795,1,1,3.0,2,1.0,1,0,0
0,17.267656369920267,1,3,6954.195438852346,3,0,1.0,2,1,4.0,1,22.848402881958783,1,2,2.0,2,1.0,0,0,0
0,57.397003285925635,2,1,8859.334843425595,4,1,3.0,0,1,4.0,0,36.54813710319266,1,0,2.0,0,2.0,1,1,1
0,30.081841421461874,1,0,14453.549752975403,1,2,3.0,2,1,3.0,3,38.437390183150534,1,0,3.0,0,1.0,1,0,1
2,9.31604024355743,0,3,3404.2096718172593,4,1,3.0,2,1,1.0,0,41.19383299769244,1,0,3.0,0,1.0,0,0,1
1,34.0580038008541,0,5,14799.213486242952,2,3,3.0,2,1,1.0,2,26.698622926914116,1,0,1.0,0,1.0,1,0,1
0,13.262367397153646,1,1,2773.1596224771097,2,3,3.0,0,1,2.0,0,19.076088750764104,1,1,2.0,2,1.0,0,1,0
2,17.059545085846672,3,7,7663.971724613824,3,0,1.0,2,1,1.0,2,41.54293653285021,1,0,2.0,2,1.0,1,1,1
0,40.1630676589773,1,9,13582.13084077304,0,0,4.0,0,2,4.0,1,23.560139968136177,1,0,2.0,2,1.0,1,0,0
0,46.81853901130641,0,6,5425.158530894581,4,1,2.0,1,1,1.0,2,45.47965951317904,1,0,1.0,0,2.0,0,0,1
0,29.929468534321654,1,2,13124.392748064389,4,3,1.0,2,1,1.0,2,20.129422844222084,1,0,2.0,0,2.0,1,1,0
2,37.8356799510014,0,5,8761.735137075848,4,1,3.0,2,1,1.0,0,48.045624672060576,1,1,1.0,0,1.0,0,0,1
0,29.865269205406033,0,7,6099.443305522069,0,3,1.0,2,1,4.0,1,48.06977977635705,1,0,3.0,0,1.0,1,0,1
1,33.39436046046321,3,3,2272.642047999329,3,3,3.0,2,1,3.0,1,28.938502353490858,1,1,3.0,2,2.0,1,1,0
1,9.21894947579685,1,8,5821.871531212111,2,0,3.0,3,1,4.0,0,48.7486687453209,2,1,2.0,0,2.0,0,1,0
1,29.87429088401634,3,1,2671.0703698050906,2,2,1.0,3,1,4.0,2,20.9305562886682,1,0,1.0,2,1.0,0,0,1
2,58.422667408540036,1,5,12974.259438163463,2,2,1.0,0,1,1.0,2,40.26452710863598,1,0,2.0,0,2.0,1,0,1
2,7.873921625203161,1,6,3341.4569602976644,2,1,1.0,2,2,1.0,0,47.956484716296735,2,0,2.0,2,1.0,1,1,1
1,37.23978554720205,1,1,15740.984293781916,0,2,2.0,0,1,2.0,0,26.106791131039547,1,1,1.0,2,1.0,0,1,0
1,13.146819480792901,1,1,3349.767791244313,4,1,3.0,2,1,4.0,0,37.220786646387104,1,1,1.0,0,1.0,0,1,0
2,38.270930084255205,0,4,3309.8368175296796,4,0,3.0,2,1,4.0,2,28.87815861940774,1,0,1.0,2,1.0,0,1,1
1,33.1221696659989,1,3,12994.142763167796,0,1,2.0,0,1,1.0,2,41.744609490161466,2,1,3.0,0,1.0,0,1,0
0,29.82931574360582,0,7,5720.54994917055,3,2,3.0,0,2,3.0,2,46.49958358213958,1,0,2.0,3,2.0,0,1,0
2,50.84663882642132,3,7,2321.0988097016784,0,1,3.0,2,2,1.0,2,39.79787135561411,1,0,3.0,2,1.0,0,0,1
0,9.422134783525197,1,5,8774.394502353654,2,2,1.0,3,1,3.0,3,39.74740191753133,1,0,1.0,0,1.0,1,1,1
2,11.720924345261164,0,9,7340.180075406685,2,0,2.0,2,1,1.0,3,47.25738492564101,1,1,3.0,0,2.0,1,0,1
1,40.552279848844655,3,5,10854.168746767466,2,1,1.0,0,1,1.0,3,39.86112847656738,1,0,2.0,0,1.0,0,0,1
1,13.390226428826772,1,0,7233.979798899028,0,1,2.0,0,1,4.0,0,24.24847607576932,2,0,2.0,0,2.0,0,1,0
0,16.946743581029132,3,0,5734.284509451603,4,2,1.0,2,1,1.0,2,30.094396146311006,1,0,2.0,0,1.0,0,1,1
2,14.145816788470816,3,8,3397.938562944692,2,3,1.0,2,1,1.0,2,26.723026966378022,1,0,2.0,0,1.0,0,0,1
