checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
2,6.0,3,1,2141.0,4,2,4.0,3,1,4.0,1,22.0,0,1,2.0,3,1.0,1,1,1
0,33.0,2,6,1525.0,0,0,2.0,0,1,3.0,3,41.0,0,0,2.0,1,1.0,1,1,1
2,39.0,3,3,1190.0,3,3,1.0,0,0,1.0,3,25.0,0,0,4.0,1,1.0,0,1,1
0,11.0,1,1,3850.0,0,0,1.0,3,1,1.0,2,32.0,0,2,3.0,2,2.0,1,1,1
2,9.0,3,1,3577.0,2,4,3.0,3,0,1.0,1,64.0,0,0,3.0,2,1.0,0,1,1
0,30.0,2,5,2775.0,4,3,3.0,2,0,2.0,1,21.0,0,2,1.0,1,2.0,1,0,1
2,45.0,3,6,2439.0,3,4,1.0,2,2,4.0,2,53.0,2,2,1.0,2,2.0,1,0,0
1,39.0,0,6,3077.0,2,0,4.0,3,0,2.0,0,41.0,0,1,2.0,2,2.0,1,0,0
2,24.0,0,7,1928.0,3,3,1.0,1,0,3.0,0,55.0,2,2,1.0,2,1.0,1,1,0
3,10.0,4,0,1567.0,4,0,1.0,3,0,2.0,2,38.0,2,2,1.0,0,1.0,1,0,1
1,45.0,0,8,741.0,1,3,4.0,1,0,1.0,1,32.0,1,0,2.0,1,2.0,1,1,0
3,36.0,2,1,6579.0,0,3,3.0,1,2,3.0,1,19.0,1,1,3.0,1,1.0,1,1,1
1,15.0,3,2,1346.0,3,4,4.0,1,0,1.0,3,34.0,1,2,2.0,1,2.0,0,1,0
3,45.0,0,7,6331.0,4,0,2.0,3,1,4.0,0,48.0,1,1,3.0,1,1.0,1,1,0
0,9.0,1,8,5711.0,2,3,4.0,2,1,2.0,3,75.0,0,1,1.0,0,1.0,1,0,1
0,14.0,1,5,3857.0,0,0,1.0,2,0,4.0,1,48.0,1,0,4.0,0,1.0,0,0,1
3,42.0,1,9,1582.0,1,0,4.0,2,0,4.0,0,31.0,2,0,3.0,3,1.0,1,0,1
3,11.0,4,7,753.0,4,3,1.0,1,0,1.0,3,70.0,2,0,1.0,3,1.0,0,0,1
3,39.0,1,5,3757.0,2,2,3.0,0,1,4.0,1,27.0,0,1,2.0,3,2.0,1,0,1
2,13.0,4,6,14421.0,2,0,1.0,2,0,1.0,0,75.0,2,0,2.0,0,2.0,1,1,0
3,15.0,1,7,1388.0,0,2,1.0,0,1,1.0,0,27.0,0,1,4.0,1,2.0,0,0,1
1,18.0,1,8,1995.0,3,3,1.0,0,0,2.0,2,22.0,1,2,1.0,3,1.0,0,0,0
2,54.0,1,0,6289.0,0,3,4.0,0,1,2.0,1,21.0,2,1,1.0,2,2.0,1,0,1
0,11.0,0,9,6761.0,2,4,2.0,3,2,3.0,0,64.0,1,1,2.0,1,2.0,0,0,1
3,8.0,3,2,5293.0,4,0,1.0,2,2,3.0,2,49.0,1,2,1.0,3,2.0,0,0,1
3,10.0,3,5,1403.0,4,4,1.0,0,2,1.0,1,60.0,2,0,1.0,0,2.0,1,0,1
1,8.0,4,5,2058.0,0,1,1.0,2,1,3.0,0,56.0,0,2,1.0,3,2.0,1,1,1
0,14.0,2,7,2708.0,4,4,2.0,1,1,4.0,3,35.0,1,1,4.0,3,1.0,1,0,1
2,8.0,1,5,1092.0,4,4,2.0,0,1,3.0,2,56.0,2,0,3.0,0,1.0,1,1,1
2,26.0,2,6,1103.0,3,3,3.0,2,1,3.0,3,20.0,1,0,4.0,3,1.0,0,1,1
3,9.0,1,0,2069.0,2,2,1.0,3,1,3.0,0,64.0,2,0,1.0,1,2.0,1,1,1
2,36.0,3,7,4591.0,1,4,3.0,0,2,3.0,1,67.0,1,2,4.0,0,2.0,0,1,0
0,5.0,2,2,2899.0,0,0,1.0,2,1,3.0,0,21.0,0,1,1.0,1,1.0,1,1,1
