checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
3,11.287651105829797,3,6,250.0,1,0,4.0,0,2,2.0,1,29.76225780239556,1,1,1.0,1,1.0,0,1,1
0,14.365905520960347,3,0,2773.824792105724,1,2,1.0,0,2,4.0,0,19.0,1,1,1.0,1,1.0,0,1,1
3,25.554274611686917,3,6,796.2249266908291,1,2,4.0,3,2,2.0,2,36.53433368919722,1,1,2.0,1,1.0,0,1,1
3,13.921424858111,3,4,250.0,1,2,4.0,3,2,4.0,3,33.0181356902343,1,1,1.0,1,1.0,0,1,1
1,11.028478983487048,3,6,508.9173122120709,1,2,4.0,3,2,2.0,0,28.82779399138518,1,1,1.0,1,1.0,0,1,1
0,13.075623529507144,3,6,2118.622850793533,1,2,2.0,3,2,2.0,3,30.41268526285367,1,1,1.0,1,1.0,0,1,1
3,4.0,3,4,250.0,1,2,4.0,3,2,4.0,0,32.83605898555312,1,1,1.0,1,1.0,1,1,1
3,23.940173996502963,3,4,250.0,1,2,4.0,3,2,2.0,2,27.766651191230327,1,1,1.0,1,1.0,0,1,1
3,12.652002006832065,3,4,2626.512641460414,1,2,4.0,3,2,2.0,2,24.06117829656894,1,1,1.0,3,1.0,0,1,1
3,42.35954024701762,3,2,250.0,1,2,3.0,1,2,2.0,1,75.0,1,1,1.0,1,1.0,0,1,1
2,11.272094443272698,3,6,250.0,1,2,4.0,3,2,2.0,0,53.852332279431,1,1,1.0,1,1.0,0,1,1
3,17.495845735627167,3,0,250.0,1,0,2.0,3,1,2.0,0,36.1559335995031,1,1,1.0,1,1.0,0,1,1
3,17.08436302164653,1,0,3763.536330454371,1,2,2.0,3,2,2.0,3,31.341593314891337,1,1,1.0,0,1.0,0,1,1
3,18.029696767192895,3,3,250.0,4,2,4.0,3,2,2.0,1,45.00314819377423,1,1,1.0,1,1.0,1,1,1
