checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
1,10.731477589903257,3,4,1426.449775156977,1,0,4.0,3,0,3.0,0,25.688349477130632,1,1,1.0,3,1.0,0,1,0
2,14.52297194372291,2,0,6088.445848849143,1,2,4.0,3,2,2.0,0,33.82281912021944,1,0,1.0,1,1.0,0,1,1
3,33.27549381804811,1,6,1426.4497751569684,4,2,4.0,0,2,3.0,3,33.82281912021946,1,1,1.0,0,1.0,1,1,0
3,23.879054941726594,3,3,2997.744430086582,1,1,3.0,1,1,4.0,2,51.10301723063887,1,1,1.0,0,1.0,0,1,1
3,10.731477589903218,3,6,6088.445848849095,4,2,2.0,0,0,3.0,0,51.10301723063895,1,2,1.0,1,1.0,0,1,1
2,23.879054941726572,3,6,2997.744430086577,2,3,3.0,0,2,1.0,0,33.82281912021951,1,1,1.0,1,1.0,0,1,0
3,14.522971943722993,2,4,2997.7444300865864,3,2,1.0,0,2,3.0,1,25.68834947713056,1,2,2.0,1,1.0,0,1,1
2,14.522971943723,4,4,1426.449775156965,1,0,4.0,3,2,4.0,0,33.82281912021946,0,1,1.0,1,2.0,1,1,0
1,10.731477589903227,3,4,1426.4497751569888,0,4,4.0,3,2,4.0,2,33.822819120219435,1,1,1.0,1,1.0,1,1,1
2,42.550563484187414,3,4,6088.445848849083,1,2,2.0,0,1,2.0,0,25.688349477130696,1,2,1.0,1,1.0,0,1,1
3,33.27549381804797,3,4,2997.7444300865864,2,2,4.0,0,2,2.0,2,25.688349477130625,1,1,1.0,1,1.0,0,1,0
1,14.52297194372301,3,2,2997.7444300865805,1,4,2.0,0,2,4.0,0,25.688349477130622,1,2,1.0,1,1.0,0,1,0
3,42.55056348418723,1,4,2997.744430086597,2,3,4.0,3,0,2.0,1,51.10301723063908,1,1,1.0,1,1.0,0,1,0
1,10.731477589903307,3,6,1426.44977515698,3,0,4.0,0,2,2.0,0,51.10301723063894,1,1,1.0,1,1.0,0,1,1
0,10.731477589903383,3,6,6088.445848849127,1,2,4.0,3,2,2.0,0,25.688349477130682,1,1,1.0,1,1.0,1,1,0
3,23.879054941726608,3,6,2997.744430086591,2,1,4.0,1,2,2.0,0,25.68834947713062,1,1,1.0,0,1.0,1,1,1
2,42.5505634841874,3,6,2997.744430086618,2,2,4.0,3,2,1.0,2,25.688349477130583,1,0,1.0,1,1.0,0,1,1
3,10.731477589903387,3,9,2997.744430086585,1,2,3.0,3,2,2.0,0,25.688349477130643,2,1,1.0,0,1.0,1,1,1
3,10.73147758990335,1,3,1426.449775156976,1,2,4.0,3,2,2.0,0,33.82281912021954,1,1,1.0,1,1.0,0,1,0
2,10.731477589903216,3,4,6088.445848849112,1,4,3.0,2,0,2.0,2,25.688349477130583,1,1,1.0,1,1.0,1,1,0
1,14.522971943722961,3,4,1426.449775156974,1,3,4.0,2,2,3.0,3,33.82281912021946,0,2,1.0,3,2.0,0,1,0
0,14.522971943722968,3,3,1426.4497751569825,1,2,4.0,3,2,4.0,3,33.8228191202194,1,1,1.0,3,1.0,0,1,1
1,10.731477589903307,1,2,1426.4497751569734,1,1,4.0,0,2,2.0,0,25.688349477130664,0,1,1.0,1,1.0,0,1,0
3,42.55056348418709,4,6,2997.7444300866036,1,2,4.0,3,2,2.0,3,33.82281912021945,1,1,2.0,3,1.0,1,1,1
