RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,73,184,16,74,14,0,0,80,1,4,5,13,0,50,0,5,4,31,10,8,1,0,49
0,58,103,22,44,22,2,1,80,-7,0,2,21,0,4,9,1,0,7,85,5,4,1,55
1,77,206,3,127,48,0,1,92,21,6,4,51,0,43,5,1,0,2,90,6,1,0,27
0,84,121,4,56,27,0,1,94,34,6,5,22,1,32,0,2,0,-1,96,0,1,0,32
1,70,115,8,43,5,0,0,96,46,6,5,5,0,60,0,2,1,90,70,0,0,0,80
0,69,220,5,69,23,0,1,75,-7,4,2,23,2,51,-7,7,5,-1,-8,1,1,0,25
1,88,242,5,91,1,1,1,68,-6,3,3,41,3,25,-6,2,1,78,94,4,6,1,63
0,75,158,3,82,43,2,1,95,70,6,2,49,3,62,0,2,1,26,85,4,2,1,100
0,85,135,3,67,1,0,0,95,7,6,5,1,0,5,0,2,1,30,-8,0,1,1,66
0,57,459,6,153,36,3,2,82,0,4,2,35,0,59,22,0,0,33,-8,0,1,3,48
0,60,196,5,72,18,0,0,66,-6,3,6,19,3,14,-6,2,1,34,59,17,4,1,100
0,83,175,7,9,13,0,0,78,32,6,6,16,3,23,0,1,0,19,53,0,2,0,60
0,74,483,13,138,17,2,2,82,-6,4,5,18,0,24,2,2,1,5,-7,5,2,0,66
0,79,332,14,41,19,2,1,86,23,6,4,28,0,30,0,2,1,0,-7,1,2,0,57
0,59,122,3,73,25,0,1,96,9,6,5,26,1,12,-7,1,0,72,87,5,2,1,76
1,63,121,0,52,10,0,1,93,-7,3,6,9,7,52,-7,1,0,17,95,7,1,0,99
0,73,232,3,114,56,1,2,69,20,6,3,60,5,39,1,3,2,26,-7,3,1,0,100
0,77,162,5,75,18,5,5,80,27,6,4,18,2,61,1,2,1,0,57,5,2,0,45
0,72,79,17,37,11,1,2,45,7,4,5,10,0,19,0,2,1,34,95,3,3,-7,88
1,75,212,1,90,22,1,2,89,1,4,5,23,2,30,-7,4,3,14,-7,4,2,0,53
1,-9,-9,-9,-9,19,0,0,89,-9,4,5,-9,1,-9,-9,0,0,-9,-9,-9,1,0,-9
1,59,181,11,98,15,11,12,84,-6,6,2,14,0,51,-6,2,1,32,-7,3,1,2,41
0,78,190,4,76,25,3,4,85,-6,4,2,39,2,11,3,1,0,0,-7,4,1,0,74
1,60,169,18,36,18,1,0,86,-7,4,4,17,0,22,0,4,3,51,46,5,2,0,83
0,71,72,12,62,14,0,1,94,-6,0,6,16,0,28,-6,5,4,50,-7,4,1,1,85
1,65,27,10,25,17,0,0,79,-7,4,6,5,0,20,0,1,0,51,-8,6,1,0,62
0,83,170,13,118,14,2,0,92,80,6,4,15,0,31,1,2,1,94,104,6,2,1,91
