Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,596.1940245051886,1,122.24309619971042,355,312.1378133586385,0.1830270906735702,0.05825395298721746,142.94690664386297,0.4,6,4,6,1,3,2,False,True
1,33.52319105373416,2,259.5180117655243,417,7231.419885266842,0.0002984683197382764,0.029590998495703225,15.497862973798062,0.0,0,1,3,7,9,1,True,True
1,118.47578988523944,0,1148.4094274985325,88,2693.836791648686,0.1500935023534655,0.14538835642607334,3.216407652346708,0.2,5,1,3,9,1,0,True,False
23,951.9048257405274,2,1378.0231816581852,193,1437.2602228386745,0.14604537864662498,0.16344208240461203,52.038480145098966,0.0,6,1,6,6,17,2,False,False
24,2422.6007427313652,0,1244.5538102719827,17,14013.741331520605,0.0034752307243689677,0.055631919216214576,0.0652733712334109,0.0,9,1,6,7,19,0,True,False
24,300.8406506006263,2,51.594436303496025,349,6287.204106556082,0.0852728898674388,0.16811914844203105,9.466884165147713,0.4,2,1,1,4,2,2,True,False
24,2518.0311459709283,0,204.34620281574712,22,1641.2072300100087,0.11802285579903389,0.1667542044359041,14.63663546668434,0.0,1,1,3,9,17,1,False,False
4,78.62130079265862,0,1.9546056719433365,162,4507.716747910956,0.088364903705938,0.1373609006845739,8.52188610185789,0.0,3,4,3,6,3,1,True,False
5,0.0790782992581758,1,1.7657944541187671,2,705.8871362142895,0.06778655103500517,0.06995249026420261,15.679202471741432,0.2,4,4,6,3,9,0,True,True
2,3.4715452905915405,2,326.387553864664,82,1507.9642910871805,0.0009984840207663485,0.040268912104192686,153.11422238342172,0.4,9,1,6,2,3,0,False,True
23,50.66008316794873,0,320.92149654560467,6,16909.040175660724,0.09259398663925475,0.16693124723043254,89.3639061341864,0.2,2,4,3,5,20,2,False,False
24,215.4707737768446,0,89.97768736775994,78,7654.121761701171,0.15100044838790785,0.14480796007362629,0.45223031179106316,0.4,9,4,6,1,18,0,False,False
7,303.93057617448255,2,1206.2100730385278,443,7018.775249307311,0.0915198660901231,0.15215565210792187,20.567574150481185,0.0,6,4,1,1,18,0,False,False
24,387.2257481362444,0,577.698214614602,24,268.6427447085935,0.0483385403521943,0.05088371578221466,5.831205012319689,0.0,6,5,1,5,17,1,False,False
5,107.76134991495918,2,688.3673436307081,170,7906.143199745859,0.19997960344196153,0.08199052942864743,0.2526615581937924,0.0,2,5,1,5,17,1,True,False
13,935.3628169717438,0,292.88849140232975,231,472.27375909262935,0.00016242685815729964,0.022571895823176168,25.46164178640173,0.2,8,5,1,2,12,2,True,True
23,4.555408010505578,2,0.8771127124510337,60,2075.1229647691925,0.0907596106559551,0.1794532868606748,3.3277687921708003,0.2,9,2,4,1,19,0,True,False
10,324.9997981282294,2,5.060359886068845,367,4124.89845610549,0.08555328324401008,0.05720559299091997,28.05162580468732,0.4,6,5,6,5,17,1,True,False
25,141.4706697734882,1,0.7261528030365891,88,1547.8906068867077,0.09246793073864043,0.1582589196043991,17.952961072464667,0.0,2,2,1,9,16,1,True,False
11,132.84283340129772,0,0.2341912289588361,93,9665.140812154645,0.16450067876367566,0.04954386008770822,0.6595873059131864,0.0,6,4,4,2,1,0,False,False
23,476.9049153143835,0,187.91032187016748,93,1534.426916989635,0.08818400997664147,0.14943090193950734,0.5269739828575639,0.0,1,4,3,7,17,2,False,False
3,49.29977256617011,0,84.49653535615242,5,602.9003033389795,0.04682269046501174,0.0005200343936037077,148.06557676621506,0.2,5,5,1,7,3,0,False,True
4,319.9705304713752,2,2.313010101994245,7,8592.782874035232,0.006886850363978553,0.0018687586352756677,4.474192692370422,0.2,5,5,1,9,2,2,True,True
10,316.28176086062274,1,1.532309953478465,7,14438.356392718553,0.08918402499758196,0.1624290172800834,4.002263133727264,0.4,2,1,1,7,18,2,False,False
20,3.542812521800743,0,588.9282448283383,91,9167.483154133057,0.017821018547180163,0.029789496125720995,146.86826194891023,0.4,7,4,4,7,9,0,True,True
1,216.86188123051045,0,73.70502039752773,168,3857.8577840178614,0.09089312240773735,0.16568077361186762,5.9274485143453415,0.0,6,1,5,4,1,1,True,False
16,129.6934280519992,0,0.5876687989325751,2,370.4605577822833,0.0001700737496633792,0.18063507862589728,0.7510634693176138,0.2,0,1,1,5,17,2,True,False
18,3134.836871683828,2,388.26131735372866,167,201.33912259912879,0.1018484148174118,0.17794228080725397,0.6875962463106153,0.4,0,4,7,5,17,2,False,False
9,5.821902823281359,0,406.7854641969127,7,1532.118910993559,0.09622341297951982,0.14788085096138304,0.4810576344161447,0.0,7,1,6,9,16,1,False,False
3,6.114355661831761,0,624.0378389122415,20,4288.419890305702,0.0011385274309006668,0.010596791139165772,146.03986373385092,0.0,7,5,8,2,13,2,False,True
24,7.211321964499205,0,68.04585840738761,5,357.67560567517137,0.0836781994422798,0.19405618311398892,10.780953699507057,0.0,2,1,6,4,17,2,True,False
4,3148.2949432308255,0,129.97397399355157,91,12470.17944005194,0.08744887293061746,0.17741237709153554,0.2992258330311614,0.0,2,1,6,2,17,2,False,False
4,216.8918222331924,0,1197.11663923046,49,4711.21558664746,0.15605639556709297,0.15284482403480368,64.2897401336053,0.2,4,2,4,6,18,2,True,False
0,6.547400786932038,1,0.0297855471226671,46,795.5946147855128,0.025309635928511792,0.14461822906598948,36.541493911622204,0.2,4,2,7,2,16,1,False,False
10,955.7286792593341,0,510.02259355368636,70,2734.5137903106715,0.010573992889029857,0.1690841115472095,3.853347039412331,0.2,9,4,7,5,17,1,True,False
23,190.10131758745533,2,65.98010353264962,23,215.17690026259834,0.09309262470450008,0.10393673123983997,0.6789206104847908,0.4,2,4,6,9,18,1,False,False
24,465.6690963929745,0,1190.8250739491414,4,1780.782256256113,0.15483805732727443,0.02995347162265758,90.30949485868464,0.0,2,1,4,2,14,1,False,False
5,362.8378836640946,0,1150.4637026946405,231,13615.10850361428,0.03405889118778315,0.010762144093774928,147.92334626538917,0.0,3,1,7,1,2,0,True,True
2,4.075365704535396,2,5.302290555865971,87,14595.470370404026,0.1464947196937462,0.14363836048171363,8.182254348951993,0.0,2,5,3,7,16,2,True,False
1,64.64100860819771,0,704.018644279421,203,753.7335208695504,0.012153022750391106,0.09797053695814126,162.27029006141154,0.2,8,2,1,2,3,0,False,True
2,645.2741760943892,2,327.6510885904421,62,550.4178351126164,0.01678613879721223,0.022822963489615065,144.36892884482126,0.2,8,4,1,5,3,2,True,True
4,3.919946630076784,1,2.175899601554904,6,7371.648681248809,0.036302569076742744,0.05875217991117808,146.18425328838507,0.0,3,2,3,2,2,0,False,True
25,62.88546646119323,0,494.1432498369293,201,11889.654297565969,0.022933220961875115,0.17347442873107904,0.4888139466148006,0.4,3,2,2,9,17,1,False,False
20,345.61636948652506,0,502.40759947460464,65,11699.248118769747,0.0006644822501646435,0.005097491888282379,30.560244674313104,0.0,7,2,1,6,2,2,True,True
2,198.07607990542476,0,1.462895680326062,164,16066.382658057635,0.09038916650270523,0.11354050576850416,0.5942835981303154,0.2,5,4,3,1,16,2,False,False
17,2431.254666804644,2,467.51980101377035,27,1641.0536237355634,0.09602314055679002,0.1581050543499312,0.28879509927382097,0.2,5,4,1,1,16,0,True,False
25,63.12343747347049,0,3.5232756323548626,44,350.96644498073994,0.15757570521382097,0.16786660958667604,0.09963108786469925,0.0,4,4,3,5,17,2,False,False
1,804.3180172085011,0,1205.1298528440927,178,17396.605416408827,0.10391110431766619,0.17970785685200916,0.6748648492785638,0.4,2,2,3,4,18,1,True,False
24,2.1718535269276575,0,699.6986681720948,7,1564.6802907960166,0.17420135979396315,0.1395710943622095,0.2308538959710513,0.0,3,5,1,4,1,2,False,False
24,2644.6649660911116,2,260.33050065315206,429,4814.511509597421,0.15231312140253955,0.14550558399249924,0.4626841191046444,0.0,2,2,8,9,16,1,False,False
12,467.19215820442344,0,1.7867524673786277,6,11603.305323444274,0.10722148886865016,0.1660714004405403,33.519655007760875,0.2,1,4,1,4,17,1,False,False
1,123.01750849207323,0,1401.5331522405918,2,5406.205392604091,0.007574860649696652,0.015750748861960838,154.1339088546281,0.0,3,1,1,4,3,0,False,True
0,3.8443693434704045,0,4.065983730785167,4,741.4182021960038,0.0005098438747466517,0.19235671904983218,50.520059743449735,0.2,1,4,4,6,3,0,False,True
13,1.656243385060353,2,396.3479390535391,29,17268.097168804667,0.0004591241039672029,0.15540541956583648,0.09305968886309453,0.2,0,5,6,6,18,2,False,False
20,1019.4005612112946,2,600.5309313944686,26,1748.4081344170318,0.04544552599396111,0.19312380333785711,102.16593275257506,0.0,8,2,6,9,18,0,True,True
1,224.22338609260305,0,52.478090257160595,23,743.0155852561775,0.01037849321740029,0.0035593768771599414,138.94425584428663,0.2,6,1,1,4,3,0,True,True
5,644.0122401106815,0,8.500194838533567,235,8985.823973003426,0.0389635969285317,0.07331914461100095,142.59396012615397,0.4,0,5,1,1,2,2,False,True
23,2802.0529042452504,2,0.8084192054045853,161,36.04577546944697,0.18923680703349222,0.14562758456594624,0.4760292356097603,0.2,5,2,4,6,16,1,False,False
1,985.885122348823,2,1402.6685821188678,349,10670.125828365835,0.0010542771873806992,0.0725113126137935,145.64159557821753,0.4,0,1,1,5,3,1,False,True
23,812.6318578806554,0,262.84111388776887,44,9010.448627727119,0.09869879349294675,0.15043081567548441,0.5344700724988322,0.0,2,1,6,9,17,2,False,False
