beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,0.9757299204703288,1950,0,3974.7131007271437,1,98121,720018
2,3.1414170871561673,2720,0,4449.925351525597,1,98120,1068729
1,1.0258125749430702,863,0,527.0550723516878,0,98105,356479
3,2.453683540904262,2747,0,5310.54857856558,1,98122,1752345
2,0.9440387030857911,1252,0,5580.41593695735,1,98122,554244
3,2.17017441541415,1994,0,1286.7537281982654,1,98122,863480
1,1.0460459468701548,895,0,0.23,0,98120,394421
3,3.1791285143045918,2064,0,4892.053239543632,1,98119,1530544
3,2.6528504490022007,1777,0,1381.3263939683854,1,98122,846295
5,2.465349626972111,1830,0,4808.87251204255,1,98118,863829
1,0.9627509147245198,941,0,1629.0000257992554,1,98125,284442
4,4.272022946619073,3896,0,8349.139400611972,1,98121,1091788
2,2.6924677804282973,2405,0,6624.968417556834,1,98121,630155
3,1.0717777586981625,1061,0,1197.9007687360279,1,98122,794916
1,0.960705731396309,1018,0,265.13001809665764,1,98118,452604
3,3.32473248099239,3302,0,5813.243805254352,1,98121,2237773
1,1.9635369364192878,2020,0,1354.8573012649342,1,98123,732880
1,2.529706674444024,1203,0,4998.730053640375,0,98120,697479
2,3.205112394879239,2227,0,1960.5709417560943,1,98121,940050
3,2.4998153351351915,1840,0,5163.67167204617,1,98141,686865
5,3.893908471835853,1993,0,5411.732966481915,1,98120,951269
4,1.8333399532167558,1354,0,6584.60886858153,1,98119,748451
3,2.5068717539211938,2125,0,1846.458424322484,1,98123,711399
5,3.4547457867233677,3003,0,9103.20805687545,1,98124,2351561
1,2.6529112215172814,1245,0,740.6781253668391,1,98122,680884
3,2.520270359552755,1830,0,5823.061718654822,1,98123,793296
5,2.6156940383373835,4225,0,867.4804531076188,1,98118,1986226
3,2.5098462841032525,2331,0,5665.0138764121175,1,98122,823573
5,1.9925878732843776,1495,0,7965.627076716538,1,98120,764233
3,2.4068615646531297,2677,0,6841.623922323567,1,98126,1076308
3,2.4087690636800305,2279,0,1903.6649718625818,1,98124,957438
3,3.4930285564622077,2128,0,1276.8723821064916,1,98118,973281
3,1.9843314528032099,1288,0,4642.416969305905,1,98116,616444
4,2.408035641689479,1926,0,1399.028298860438,1,98123,1043509
5,2.208453359525801,2090,0,7636.398149916961,1,98119,669192
2,0.9585220130026144,881,0,1080.4591167549543,1,98120,498441
3,3.2602627152691555,2040,0,9472.347902944904,1,98108,2281008
3,2.1163414428956573,1090,0,4622.782549922057,1,98121,626676
