beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
4,3.0963917668652945,1695,0,5230.158662248552,1,98114,990922
2,1.0536512741805089,1192,0,4688.319511027217,1,98114,839074
4,3.753844431092046,3221,0,4560.273990595684,1,98123,1095943
2,2.129884577772621,1127,0,5720.89440106089,1,98121,1457343
2,1.4701855263206145,1146,0,392.9493046320667,1,98105,581859
4,1.59138784012864,1171,0,1262.8734503610456,1,98104,931151
3,1.154978949752237,934,0,4462.25980033673,1,98104,1023890
4,1.2182373241036693,1690,0,5314.945697359214,1,98119,1138918
3,2.0510625797339497,1107,0,8966.373802031652,1,98114,1038659
3,3.139672020081887,1487,0,4839.720995694211,1,98114,1239802
4,3.015599364517258,1447,0,8013.828348336476,1,98122,884611
5,5.350616506898783,3195,0,5116.388333146644,1,98112,1864210
2,1.170325403923302,956,0,3984.007667592143,1,98118,927123
2,2.0200042525190143,2046,0,8190.582588728785,1,98115,1144893
3,2.5689248206549755,3236,0,8973.72835392728,1,98113,1924169
4,3.115608542630315,1998,0,4657.27917887434,1,98121,1084132
4,3.8505729503170314,3462,0,9162.266210345742,1,98114,1859184
3,2.0484848027986007,1125,0,1619.84087079967,1,98113,991237
3,1.9984031904601418,1403,0,1820.6482542313752,1,98114,944207
4,3.095762289248714,1733,0,7752.902607458341,1,98114,1855025
4,1.1243672356656726,1960,0,4706.35561319957,1,98119,1157590
4,2.0412776254580245,2184,0,4912.496421101951,1,98120,1774551
4,3.0980113838140144,2033,0,4125.571604762716,1,98123,1143887
1,0.9585053261264765,708,0,0.23,0,98102,603893
2,1.2036151890253441,1098,0,7900.920946016001,1,98117,1024074
4,3.2627678777748748,1950,0,4844.5557837567685,1,98109,2843242
2,1.0391871458023516,597,0,4669.539624099617,1,98104,588656
4,3.0523164135584304,2265,0,7654.46855595184,1,98123,1023988
3,3.06323739733215,2061,0,7731.626363354876,1,98102,1486314
4,5.42544064046707,2105,0,8817.452695925573,1,98137,1016138
3,3.1023945166243965,1485,0,8373.643767376772,1,98122,2012591
2,1.0996717317625575,814,0,5258.6210689258805,1,98114,701900
5,2.030166599331696,2246,0,8570.419115120025,1,98115,1734605
4,3.155577228074584,1953,0,5230.053116948252,1,98111,2032745
