beds,baths,size,lot_size,lot_size_units,zip_code,price
15,9.0,11010,0.23,0,98199,25000000
4,2.5,1992,5000.124515950944,1,98105,1055438
3,2.0,1163,4599.309550758157,1,98117,706685
4,7.393335401245984,2497,6625.1768667896995,1,98135,1314583
3,2.5,1815,3963.619660126067,1,98101,645414
3,2.0,2303,4234.93671599439,1,98115,1770587
1,9.0,11010,0.23,1,98199,25000000
15,9.0,11010,0.23,0,98101,25000000
1,1.0,533,683.8588864953564,1,98109,382084
4,1.7067099329502966,1934,2037.3638021650345,1,98116,1198945
3,4.075248011994806,2015,1057.5517769934556,1,98103,1193570
14,0.5008950326642246,250,0.23,0,98101,159000
15,0.5,250,0.23,0,98101,159000
2,1.5,1195,2425.623879216586,1,98105,890109
3,3.170069283413707,1820,1490.7514078727547,1,98115,983389
5,3.0,2426,5696.453073070267,1,98120,636493
3,2.0,1918,5078.790323818219,1,98123,1569436
3,2.5,1492,3948.091212374042,1,98115,581504
2,1.5,1364,1955.0551078204953,1,98126,503663
2,3.5,1803,2328.521096794007,1,98116,1226457
3,1.427751089298873,1113,5884.801966873255,1,98106,852333
3,2.5,1551,3340.0313345952013,1,98112,688192
3,2.0,2388,2716.0156110054163,1,98125,1537634
4,3.0,1953,0.28040172495130855,0,98116,890284
2,2.0,1233,159.00670805030083,1,98126,817475
2,1.5,1522,4536.6783279359515,1,98122,698389
2,1.0,1089,3500.2014026360225,1,98124,760296
15,9.0,11010,0.23,0,98101,159000
5,3.9396962139385705,2749,7637.273212986878,1,98149,1784618
5,3.0,2381,9662.824727734658,1,98136,782616
3,3.8554074573978445,3126,6013.481139818996,1,98103,2421724
2,2.0,1176,0.35455852811870886,0,98106,518877
4,2.0,1687,9205.240558134472,1,98145,784963
4,8.123465699912806,3331,1392.5855673659066,0,98116,1512986
2,3.0,1585,0.31640788880354126,0,98138,1964846
3,3.899653099280222,1897,1443.9696444760373,1,98103,992675
1,1.0,996,6082.2275997896595,1,98101,1756865
3,3.5,1590,2743.815579059355,1,98115,858271
2,1.0,1278,6172.318488148154,1,98106,749108
5,7.467158435461956,3230,7322.327584620682,1,98107,2060580
1,1.0,1159,5552.093249842361,1,98144,754287
4,2.0,2430,3347.131116931741,1,98103,999130
15,0.5,250,0.23,0,98199,25000000
3,2.5,2327,6395.251404858331,1,98199,1351840
1,1.5,987,6126.9181964227,1,98120,679870
3,3.4413237052326786,2101,2168.275848068037,1,98101,1628215
3,1.6820151875643472,1658,3588.7036068325506,1,98103,1126765
3,2.0,3550,1413.5694086281483,1,98199,22464866
3,2.0,1097,4640.566293246817,1,98118,741058
5,3.5,2630,3711.3270214963504,1,98144,842417
2,2.0,1097,0.5625598850508837,0,98130,521641
5,4.402819604551629,2965,2868.2938622193014,1,98106,1399203
4,2.5,2907,3144.381065811153,1,98106,797426
2,1.7953676843189703,928,877.7154042100287,1,98117,692240
3,2.0,2109,2320.173467717672,1,98119,886051
1,0.5062141523390844,250,0.23,0,98101,159000
3,3.0,2108,3852.1506697475065,1,98103,1346894
4,2.0062325937309864,2851,7057.83400532824,1,98128,838725
2,2.0,839,231.18812147236545,1,98145,442445
3,2.0,1158,6971.418098844868,1,98115,763475
3,2.0,1603,1080.129115679831,1,98147,708429
3,1.5,1136,1456.353335830086,1,98118,825771
15,9.0,250,0.23,0,98101,159000
3,2.0,1565,1194.0885889576239,1,98103,949570
1,9.0,11010,0.23,0,98199,25000000
2,2.5,1322,259.27376174216334,1,98107,668443
1,1.0,676,0.5681493060512127,0,98101,394732
7,3.0,3952,6317.6214855547005,1,98122,2226379
3,2.0,2598,5829.135879054185,1,98124,850901
3,2.0,1397,7973.2583451996625,1,98115,818271
14,0.6658640698051017,250,0.23,0,98101,159000
2,2.0,1301,4232.402992260082,1,98103,826306
4,3.0,3251,6287.267896640323,1,98125,1754007
3,2.0,1323,7110.532721882166,1,98129,713508
3,2.0,1056,3.133276873232839,1,98148,585054
3,2.0,1347,3315.029010479209,1,98103,645322
3,3.0,2503,1782.390113815026,1,98115,1425465
3,2.0,1218,0.4584439739275175,0,98103,651071
4,2.5,1790,3206.2076416936657,1,98177,859078
3,2.0762104238918213,1717,2964.102772637623,1,98111,910988
3,1.5,890,9246.72258729278,1,98155,681054
3,1.5,1636,9864.841796682202,1,98115,605450
3,2.0,1550,4963.719007830785,1,98124,1045972
2,3.285250193335558,1568,2330.5056703523655,1,98117,778445
4,5.07792340363753,2475,4082.904347911126,1,98105,1220853
2,3.5,1819,6380.8924265480955,1,98117,792699
3,3.0,1491,1465.180217349584,1,98126,882524
3,3.0,1889,4992.683556490651,1,98199,1473286
1,1.0,308,0.9291155420246666,0,98101,226175
