beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
5,6.5,1411,0,1110.0,1,98104,905000
15,0.5,5690,0,2242.0,1,98101,860000
14,9.0,2490,0,8057.0,0,98105,1900000
8,3.0,1604,0,8280.0,0,98146,525000
15,9.0,1433,0,5038.0,1,98104,929950
7,6.5,890,0,1395.0,1,98119,1180000
4,2.0,994,0,8967.0,1,98101,972500
5,9.0,2852,0,1514.0,0,98108,964000
15,0.5,3090,0,1549.0,1,98103,1049000
5,9.0,2010,0,1750.0,0,98102,1150000
8,2.5,3620,0,6011.0,0,98105,2675000
15,0.5,617,0,3090.0,1,98144,670000
7,7.0,3700,0,2880.0,1,98121,915000
7,6.5,979,0,3172.0,1,98101,590000
15,7.0,995,0,6957.0,1,98101,779000
15,0.5,4490,0,0.49,1,98144,729000
15,5.5,1610,0,1193.0,1,98177,865000
3,2.5,1711,0,2613.0,1,98177,900000
8,6.5,1050,0,4462.0,1,98115,705000
9,0.5,3142,0,3500.0,1,98168,630000
9,6.5,1516,0,2835.0,0,98104,870000
5,5.0,1554,0,3710.0,1,98144,2100000
7,0.5,677,0,7548.0,1,98106,734950
9,4.0,1113,0,870.0,1,98122,1570000
15,1.0,890,0,3920.0,1,98101,800000
4,0.5,1884,0,1950.0,1,98121,2925000
9,9.0,4790,0,5272.0,1,98178,835000
5,9.0,1566,0,1748.0,1,98121,1795000
9,9.0,650,0,2.71,1,98104,1400000
6,1.0,2996,0,1139.0,1,98117,850000
9,6.5,740,0,8421.0,0,98144,699950
8,0.5,1011,0,5569.0,1,98133,1450000
15,5.5,1563,0,1569.0,0,98122,675000
7,1.5,2206,0,1483.0,1,98121,795000
15,5.5,627,0,1994.0,1,98104,825000
8,0.5,1328,0,800.0,1,98107,690000
8,9.0,1712,0,1412.0,1,98112,409050
14,0.5,2783,0,2320.0,1,98102,720000
5,0.5,780,0,7260.0,1,98146,409050
15,0.5,1225,0,2950.0,1,98101,1098500
15,6.0,1101,0,5346.0,1,98177,775000
8,6.5,2852,0,0.27,1,98122,699950
15,6.5,1043,0,3780.0,1,98101,1290000
1,0.5,3710,0,9300.0,1,98178,1275000
9,6.5,2437,0,5120.0,1,98103,1485000
9,9.0,2299,0,6582.0,1,98108,435000
7,3.0,1242,0,6099.0,1,98119,1600000
14,0.5,2209,0,2000.0,1,98108,395000
14,6.5,1015,0,8037.0,1,98126,689000
8,0.5,2290,0,0.4,1,98106,750000
15,6.0,1174,0,6765.0,1,98101,1275000
8,0.5,1835,0,1097.0,1,98106,670000
15,9.0,1290,0,9290.0,1,98144,850000
15,5.5,616,0,5259.0,1,98105,975000
15,7.0,1544,0,1036.0,0,98106,845000
2,7.0,773,0,8820.0,1,98168,625000
15,6.5,1096,0,4360.0,1,98177,1800000
15,6.5,1554,0,6567.0,1,98101,929950
14,6.5,900,0,1753.0,1,98121,1395000
4,5.5,1815,0,2272.0,1,98102,1500000
15,2.5,1350,0,570.0,1,98116,1295000
15,6.0,1448,0,2761.0,1,98105,895000
15,0.5,956,0,2.71,1,98103,1325000
8,0.5,1498,0,6721.0,1,98144,2100000
6,7.0,1872,0,2109.0,0,98104,824500
15,2.5,3700,0,1532.0,1,98104,1167500
3,6.0,582,0,0.58,1,98177,625000
14,2.5,1040,0,1036.0,1,98101,575000
14,0.5,1523,0,2703.0,1,98116,656500
14,0.5,2634,0,0.59,0,98117,375000
15,7.0,1172,0,745.0,1,98177,1900000
15,9.0,2247,0,4.05,1,98116,1305000
14,0.5,2353,0,8750.0,1,98101,755000
14,3.0,2213,0,1316.0,0,98119,875000
14,0.5,376,0,960.0,1,98133,619000
3,5.5,2783,0,585.0,0,98133,865000
14,6.5,2481,0,8556.0,1,98104,1299000
15,0.5,4397,0,2557.0,1,98178,550000
3,7.0,1169,0,1040.0,1,98104,745000
14,6.0,1611,0,2068.0,0,98118,889000
15,6.5,3100,0,8317.0,1,98106,590000
9,9.0,2172,0,662.0,1,98104,485000
7,6.0,3488,0,3.97,0,98112,3700000
8,5.0,2546,0,5757.0,0,98101,610000
15,2.0,2178,0,6048.0,1,98117,875000
14,3.5,950,0,1304.0,1,98105,1800000
15,6.5,1124,0,3400.0,1,98105,1295000
3,9.0,861,0,5586.0,1,98122,935000
4,4.5,1600,0,1348.0,1,98104,640000
1,2.5,1872,0,560.0,1,98104,870000
14,5.5,3110,0,962.0,0,98101,1570000
15,9.0,1000,0,4101.0,0,98122,679000
14,0.5,1345,0,5616.0,1,98177,765000
8,7.0,4006,0,4267.0,1,98105,675000
14,6.5,976,0,1615.0,1,98144,644999
6,6.5,1475,0,6340.0,1,98101,776000
7,7.0,699,0,1875.0,1,98146,1075000
9,9.0,3040,0,1562.0,1,98108,1099950
15,0.5,1560,0,2272.0,1,98125,468000
15,4.5,1800,0,4046.0,1,98168,625000
4,1.5,1060,0,6396.0,1,98115,950000
6,0.5,690,0,7669.0,1,98121,1715000
9,5.5,650,0,1728.0,1,98101,930000
14,9.0,950,0,720.0,1,98104,337000
15,2.0,4010,0,2064.0,1,98144,699950
7,2.0,3487,0,1182.0,0,98105,699950
4,6.5,889,0,1498.0,1,98116,875000
14,7.0,1242,0,1389.0,0,98104,720000
5,4.0,2950,0,6750.0,0,98104,2130000
14,0.5,3050,0,698.0,1,98104,649950
15,0.5,2282,0,8640.0,1,98104,776000
15,9.0,3542,0,6604.0,1,98136,920000
3,0.5,2090,0,8030.0,1,98106,895000
14,4.5,1210,0,2044.0,1,98102,1750000
2,9.0,3014,0,8360.0,1,98121,500000
8,0.5,2299,0,7324.0,1,98115,640000
8,3.5,1422,0,1389.0,1,98101,915000
7,1.0,2840,0,2336.0,1,98101,525000
15,2.5,976,0,7154.0,1,98102,750000
14,9.0,543,0,1569.0,1,98121,515000
9,0.5,2425,0,3178.0,1,98103,1295000
14,9.0,2282,0,4950.0,1,98119,1035000
14,6.5,620,0,4462.0,0,98121,363500
7,3.0,2702,0,1081.0,1,98101,750000
15,1.5,2320,0,2240.0,1,98115,720000
14,9.0,2880,0,7026.0,0,98116,524950
8,6.5,1498,0,2950.0,0,98177,1715000
8,5.5,1893,0,6300.0,1,98117,1225000
15,6.5,2500,0,564.0,1,98146,718000
8,6.0,2495,0,1486.0,1,98101,1795000
4,6.5,3280,0,5195.0,1,98101,825000
9,0.5,696,0,7900.0,1,98136,1270000
7,4.0,1469,0,6172.0,1,98136,1112000
8,6.5,1560,0,8385.0,1,98104,1580000
14,5.0,2490,0,3844.0,1,98178,775000
8,7.0,2245,0,4703.0,1,98121,954500
2,7.0,1450,0,9205.0,0,98121,375000
8,6.5,647,0,1728.0,0,98109,1470000
9,0.5,1565,0,2226.0,1,98105,699000
8,6.5,1411,0,5303.0,0,98121,331000
7,5.0,881,0,9601.0,1,98117,765000
9,0.5,2820,0,4173.0,0,98104,1270000
9,1.0,1057,0,1.2,1,98115,1450000
15,7.0,1147,0,5445.0,1,98116,965000
15,0.5,4350,0,729.0,1,98101,920000
8,6.5,3556,0,6022.0,1,98101,474000
14,7.0,1500,0,9880.0,1,98136,920000
8,3.0,1098,0,3800.0,1,98101,950000
7,5.0,998,0,4178.0,1,98121,700000
8,7.0,2245,0,1881.0,1,98199,875000
15,0.5,2420,0,897.0,1,98101,745000
3,0.5,2735,0,1136.0,1,98115,950000
15,7.0,2250,0,2970.0,1,98146,805000
14,0.5,805,0,0.44,1,98121,615000
9,7.0,2610,0,2064.0,1,98101,510000
14,9.0,1990,0,856.0,1,98121,762000
2,2.0,1422,0,8820.0,0,98106,720000
9,0.5,3840,0,7006.0,1,98168,1022700
8,2.0,2600,0,4.06,1,98102,1525000
4,6.5,903,0,794.0,0,98101,630000
9,0.5,583,0,1354.0,1,98118,455000
2,6.5,1071,0,6656.0,1,98144,1050000
7,7.0,1563,0,6769.0,1,98117,1050000
7,5.0,3750,0,3623.0,1,98108,412000
15,7.0,1096,0,8184.0,1,98101,649950
4,9.0,4010,0,1238.0,0,98119,1150000
7,5.0,760,0,4400.0,1,98119,1180000
14,6.5,3040,0,1792.0,1,98107,680000
14,0.5,2668,0,9601.0,1,98144,750000
15,2.0,1990,0,3254.0,1,98107,705000
6,7.0,996,0,8360.0,1,98121,1950000
8,3.0,994,0,5124.0,1,98106,800000
14,2.5,4490,0,6099.0,1,98118,650000
8,1.5,2777,0,1750.0,1,98104,1550000
14,7.0,1595,0,1412.0,1,98101,740000
5,0.5,1563,0,1250.0,1,98106,940000
15,3.0,1718,0,1268.0,1,98107,895000
15,4.5,2760,0,5580.0,0,98126,650000
14,1.5,2970,0,0.86,0,98118,720000
8,6.5,1076,0,3848.0,1,98104,865000
8,7.0,1112,0,1994.0,0,98126,675000
14,5.5,1621,0,3858.0,1,98104,1750000
7,1.5,2120,0,8800.0,1,98116,680000
14,0.5,1286,0,5725.0,1,98178,640000
