beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
2,0.7642701889746759,1518,0,5527.30899246806,1,98101,903058
2,2.293252379630518,697,0,8760.516525318433,1,98102,1104173
2,2.664502005030152,1476,0,950.6243319609964,1,98101,3050360
5,3.678356585373876,2346,0,3049.375390364835,1,98118,1527785
4,2.3181223796791985,1718,0,2719.3115857442376,1,98194,816184
2,0.7642844859034101,1344,0,2093.8145039802807,1,98121,409456
1,1.2774566044272053,477,0,0.23,0,98111,269557
2,8.114616855570436,2039,0,1982.7148217091521,1,98102,25000000
4,2.7273636340450134,3182,0,7062.155986296473,1,98118,920862
1,1.7535593267615706,868,0,1237.7034627956455,1,98114,813704
2,3.028809285271265,2135,0,5953.2236962649795,1,98114,25000000
1,1.1146384228834771,3318,0,4420.112377621159,0,98198,577506
4,3.026964613332318,1612,0,0.23,1,98177,1291090
8,1.6858876354163774,1223,0,2874.8384777079755,1,98114,955702
2,4.51848529133927,1117,0,786.6573532324483,1,98109,656940
1,0.6932462951621574,1057,0,5856.081744473882,0,98102,1024637
1,3.949900054087106,2836,0,6426.617246945886,1,98199,3345082
2,1.9312969648041813,1267,0,5624.858852309715,0,98123,697160
3,0.9859627745745656,1304,0,7495.114125562916,1,98104,3414082
1,1.6727332188021498,614,0,0.23,1,98107,971178
1,0.8249352545819186,551,0,1313.6862503217462,1,98113,704147
1,0.7970539417189472,1138,0,3582.745462754236,1,98110,964889
3,2.3833013689832487,1936,0,4771.10038527506,1,98104,1804591
2,2.9502476737610666,2033,0,1104.3365335620638,1,98116,1347665
2,3.2951813923054853,827,0,0.23,1,98102,802756
4,2.608738826105859,2636,0,4967.788293190259,1,98199,608953
2,1.8604450643658879,1227,0,5647.987450320626,1,98102,2287010
2,4.277658536602862,861,0,1484.9797132338058,1,98101,3951089
2,3.3792550414088307,3531,0,742.049760178892,1,98122,855042
2,1.6325852121407034,1436,0,4121.432148302509,1,98121,1170372
4,1.899563578456451,2447,0,3820.9972882920606,1,98102,1908037
3,1.1377232568235498,860,0,3192.2117926060628,1,98101,1008196
1,1.4920895323350698,1462,0,4150.074303340021,0,98160,1011427
3,1.9160970921456395,2019,0,4585.188537493241,1,98112,994082
3,1.211357478257677,2788,0,2938.411127347801,1,98124,2936332
2,3.240216974405926,935,0,4547.593307838832,1,98136,848500
2,1.366680693114547,1059,0,1986.4017390796987,1,98118,855614
4,2.9982887212247187,2413,0,4463.562536043239,1,98104,2978796
2,4.206329846416005,3381,0,7462.486256459986,1,98121,639843
