state_code,lat,lon,bird,lat_zone
1,34.242197541618786,-86.73784131188273,29,2
49,40.261533294930075,-78.7752301104256,19,2
14,29.95272093182832,-86.06412082199316,18,2
48,39.58504097657902,-87.68842972851951,0,2
13,37.29850669689741,-91.5891815670449,13,2
42,36.68446744910551,-83.21193432724026,20,2
2,32.696117241297785,-91.5032994715201,20,2
46,43.38376597661686,-72.78689569359894,16,2
15,42.11433295524804,-73.09155721419556,0,2
36,29.264254086337424,-94.8928317481351,25,1
7,38.87454175701484,-76.87325506415962,21,2
48,33.487502996878845,-86.84676093297057,0,2
1,38.332232476334624,-86.52339131263383,29,2
5,44.76022586853474,-72.19789685698059,0,2
47,46.799937855160955,-119.29083022523888,27,2
31,46.31443874298515,-119.33774785324766,17,2
11,20.359226104463115,-154.0067504366421,15,1
7,39.031660180038,-76.52465580061423,10,2
20,39.46800578635153,-76.45685999016675,1,2
35,41.40019373598932,-72.25042692359348,14,2
17,42.36286070086651,-71.65794523181003,1,2
6,38.8879142984715,-77.05484296904343,20,2
15,27.610198396646112,-93.84484681715458,1,1
19,35.16663369879424,-77.96921658747877,0,2
14,44.59952946277343,-113.64458775625006,18,2
36,36.683415936856505,-82.19424525067264,19,2
4,39.79833790251641,-109.67817758199112,6,2
30,41.605720265370806,-71.25735950447344,22,2
48,46.55289786000585,-87.65767208644844,0,2
22,37.08109313074164,-94.54110317698337,11,2
27,45.47503926261518,-103.09088675179258,25,2
19,39.30301582326396,-78.36850410976697,0,2
22,36.83960783218313,-93.42508443121217,19,2
42,39.521463405126475,-86.11244404226161,20,2
0,19.502364721758145,-155.990028904615,27,2
9,30.21471274601308,-84.57944305146728,20,2
15,32.21541896496126,-86.08684240740105,18,2
10,34.67117652597858,-84.53484602181916,4,2
36,41.3544402583638,-73.05595501398655,22,2
10,29.166176112895588,-79.94806750855429,20,1
25,35.35338447791955,-99.76389558576744,25,2
17,31.487888007685285,-92.8441982205206,2,2
9,33.720339276286325,-80.40961865220088,20,2
47,42.88650083050284,-121.25075983944376,27,2
37,39.05397991723169,-85.3267547203672,6,2
26,28.12775191134349,-83.06516519139116,18,1
29,34.168122928781585,-110.32655234725449,13,2
3,32.84526070703872,-113.82546740708676,5,2
37,47.983187350343,-103.30817899994237,22,2
15,39.70447783908928,-96.87528843235194,25,2
2,35.0001231804296,-83.35698632545548,29,2
10,31.645761461779394,-93.48459999902644,12,2
21,45.32286976270417,-69.4048827483528,9,2
46,42.733381915412586,-118.4014135242963,26,2
4,38.88474463753286,-109.12477939444875,16,2
42,40.245423813130856,-114.01545207049405,5,2
13,34.571293446345685,-79.47631562450263,5,2
31,34.07141918735492,-101.05909751104011,26,2
2,35.99856412880586,-89.78975986848904,20,2
49,37.75048438120379,-104.49778566137779,25,2
22,37.310305446008876,-115.92691481306458,25,2
3,34.83459176183972,-117.46926150167815,6,2
43,36.20360589653927,-79.55616328308481,9,2
2,31.970412713764784,-115.0516106665889,4,2
33,37.17843675094007,-106.71205516540567,14,2
41,48.34838183848504,-97.48409541512162,19,2
39,41.13827896968346,-74.65577423724392,19,2
4,36.826700055146084,-116.95690405195332,7,2
9,38.93891392480555,-73.79517118237783,11,2
3,34.7153031200972,-117.95530179007403,6,2
23,44.431831085001335,-69.40857091408905,10,2
13,32.504740017382474,-90.91955377278853,18,2
23,43.221413703139916,-69.30769549878602,10,2
43,32.235162932918385,-83.0536534232315,20,2
39,33.12077080249299,-79.88391004817716,7,2
36,42.728834877617786,-124.96172259511083,25,2
26,40.671570176015926,-103.24156851622197,25,2
14,46.97540648565535,-113.34197513619134,18,2
29,40.88909200475356,-100.02570882043074,26,2
15,47.13962903020418,-111.36424915930235,18,2
36,48.62904652099073,-98.36417973867037,25,2
2,47.74947678239735,-91.60206855794628,20,2
45,46.5678146046507,-123.21583662557381,26,2
49,38.351683926688864,-80.63815404416712,19,2
14,41.47244881778112,-87.7322918331878,18,2
44,46.50504312755802,-100.59195854374396,20,2
26,44.82482705957145,-87.27705742429892,20,2
3,34.57689949674056,-118.01336100526424,6,2
15,40.13851746971785,-85.26946504554348,19,2
4,43.27036533318323,-73.17626741273105,0,2
28,31.218934880785376,-99.76600572140441,25,2
17,32.10341823944991,-82.1265972131675,19,2
12,42.10063848029189,-115.29868030282202,17,2
43,31.120089601969617,-77.23714018168342,9,1
45,42.59357364105233,-98.25935165925927,20,2
4,37.27196043446791,-107.12470669319417,6,2
42,30.969250348556596,-85.53649734892944,20,2
14,20.5039679324493,-150.1223264170293,16,1
9,39.185751086318,-74.14103719887825,11,2
11,22.400054770317926,-157.8408903061826,15,1
9,37.61117601052564,-82.32828382071436,3,2
4,40.1492869303276,-102.67532561506889,16,2
39,33.704978636996884,-80.04077354632719,7,2
18,44.81260142153623,-71.41354711680484,1,2
42,36.444524380589755,-104.91604240258759,19,2
2,39.32656671460404,-83.66916644447161,29,2
41,35.719151054212674,-86.49130761016495,19,2
41,40.181029874227804,-86.749313931672,19,2
50,44.37231971269182,-106.19048749104597,26,2
39,41.853175505608405,-71.03957632955394,23,2
19,34.84679217635408,-90.58077290042664,3,2
8,38.83671396681567,-75.15921740291695,11,2
8,27.858586856958393,-81.68844318244744,19,1
17,32.083695405465086,-98.34470067961466,26,2
18,38.914711692921955,-78.34299795662787,0,2
24,38.14168219429374,-94.09045784513627,12,2
31,43.78160528420593,-75.0702056493551,11,2
16,39.54466683500594,-84.59557955475226,19,2
33,44.633191137405916,-73.56908818562175,11,2
35,39.24374779911689,-81.36488263643804,19,2
37,36.063698748128765,-80.30425168444243,18,2
23,35.84401787796898,-89.88205144759422,11,2
40,41.716108678684556,-70.77306539762313,23,2
37,37.60842872792759,-80.65559416548184,19,2
17,35.439166848480674,-93.35535107264306,2,2
16,36.988160726732524,-85.96764876792729,18,2
11,19.912561282959953,-154.50644520891137,15,1
30,45.74222614554388,-98.17776444680737,26,2
8,39.43630881966254,-84.54808126564463,3,2
28,40.016646264113525,-101.58999499259576,25,2
38,41.12082739219252,-80.9125021084319,19,2
2,33.550557279201854,-92.40464424626911,20,2
3,34.719666349478175,-113.30911678201335,5,2
38,44.01362608436618,-103.62288335064234,22,2
1,33.43859005596604,-85.99706713127141,29,2
22,39.57030943186002,-84.61733805823035,0,2
23,44.73233559159486,-84.7778148872265,0,2
9,37.144107433560364,-83.37806732353663,3,2
31,40.098361312149635,-86.28422834442559,18,2
2,36.86833877274982,-90.82671273557965,20,2
45,41.00698139791479,-73.69665409196776,15,2
23,48.92774481177214,-95.66466287835797,10,2
11,40.714145874782815,-92.73985397104934,12,2
46,41.61075715894081,-72.1137563469259,16,2
19,39.39876400179566,-77.71704140934632,0,2
36,32.757549701164656,-79.61250590900802,19,2
32,42.67850149358813,-117.8948487329771,17,2
19,41.63637820278713,-72.17060191535833,2,2
39,34.53917537768655,-81.32613116757018,7,2
20,45.446116335162856,-68.17331979861683,8,2
43,48.22288001519237,-113.4290323879295,5,2
34,43.94197288600929,-74.05200589578705,12,2
14,44.42453186266896,-109.33702337420581,18,2
22,45.444648256175455,-84.10710330301217,0,2
3,34.59580288934825,-116.33023182421405,6,2
9,39.004875323698805,-74.63832469144296,11,2
23,40.73801302919878,-73.4248804406605,1,2
1,35.261538049587955,-84.91126653896877,29,2
1,40.22400083032383,-93.8418739637791,19,2
46,37.87674360528595,-120.38570540591809,26,2
28,30.762626188359388,-79.59502824325463,19,1
13,33.19648327821886,-90.19405637613286,13,2
26,39.171246947209106,-80.70199029174783,18,2
31,39.999378461463536,-74.55458322024677,13,2
21,45.26727877952436,-70.85018878402258,9,2
